sample_key,sample_id,timepoint,n_bins,Epithelialization,Skin development,Inflammatory response,Vascularization,Matrix remodeling,Epithelialization z,Skin development z,Inflammatory response z,Vascularization z,Matrix remodeling z
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,16821,-0.025684388572380746,-0.02051308473470287,-0.007281270493633023,0.0678533702970358,0.6678426988323802,-1.5417135922516323,-0.18159239241557773,-0.08518492466810254,1.8852699402540052,-0.4809625246941532
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,13315,0.10092463112235561,-0.01771944003599455,0.08653554976357224,0.023625833468480423,1.322035804150176,-1.3052490458607446,0.15569126804927258,2.0183254285542747,0.7666899529715588,1.0106010630942326
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,29135,1.4757885355963858,-0.020787226451672018,0.003312443197432725,-0.025049423628811535,0.5425682931803134,1.2625503913713878,-0.21469020253732496,0.15234163365200856,-0.4643794750166851,-0.7665888029804149
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12 dpb,25512,0.0721266299760602,-0.018034272575746357,0.008542986587796123,0.015511432242869841,1.089702887505595,-1.3590343630083042,0.1176807538668383,0.269618068138321,0.5614647138872997,0.4808808384468199
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12 dpb,34538,1.2386181319066414,-0.01580448348499393,-0.02385020711042983,-0.005347030322065338,0.5656722614091059,0.8195930723663292,0.3868887268568536,-0.45668472203669513,0.03392326655188222,-0.7139116386028631
19dpb,BW15D_C6_SDSDB_19dpb,19 dpb,40440,0.9417040363987247,-0.02961245228882241,-0.003970165196162752,-0.024269872008495046,0.5810011294739025,0.26505393225908563,-1.2801816289020782,-0.010945100138308198,-0.44466345861450934,-0.6789617419108827
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19 dpb,47042,1.1853254790666137,-0.03722968304893908,0.06372307762589582,-0.032885464052129144,1.3232849859810385,0.7200596978076436,-2.1998288104371877,1.5068364312439662,-0.6625645566556901,1.0134492039845835
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26 dpb,39669,0.8127183812399048,-0.014244880159873245,-0.036502938670834505,-0.010818704477645108,0.5855112483464632,0.024150602373104315,0.5751835084420259,-0.7403774730901576,-0.10446348627787123,-0.6686786480778456
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26 dpb,34928,0.6480706429242596,-0.014659506231721929,-0.031913526027508916,0.01748320365172372,0.5300827172776045,-0.28335792149798916,0.5251246733646997,-0.6374761278518699,0.6113337365730857,-0.7950559791668743
2mph,2mph_A03699G6.SCT,2 mph,90304,1.022613020438561,-0.013998578879799307,-0.029621901048568832,-0.011070582966229791,1.8157006791058534,0.416165648123061,0.6049200734958876,-0.5860945434442141,-0.11083386674129032,2.136159474010681
Normal,NS_C02847B1,Normal,15357,1.3254579058081297,-0.006495345815233337,-0.067276184861841,-0.0886043090501117,0.6432950693174977,0.9817815783180609,1.5108040302165904,-1.4303586703592237,-2.071776766931786,-0.5369312441032819
