cell_type,region,count,region_bins,proportion,log2_enrichment,fisher_p,fisher_fdr
B_Mature,Un-epi,4,23016,0.0001737921445950643,0.2943466775891613,0.7210593234663274,0.8964521318770556
B_Mature,Epi-Front,0,9595,0.0,-1.6132959091966066,0.35742912000418825,0.5420353687975602
B_Mature,Newly-epi,3,14431,0.00020788580139976439,0.6052424491629781,0.44525397986084647,0.6536707363914555
B_Plasma,Un-epi,528,23016,0.022940563086548488,0.2105657209118486,2.5350548387803803e-06,1.249419884827473e-05
B_Plasma,Epi-Front,175,9595,0.018238665971860343,-0.11758430550972931,0.21837921115878503,0.40310387730885605
B_Plasma,Newly-epi,230,14431,0.015937911440648603,-0.31310514908297116,4.2785276921132216e-05,0.0001845115067223827
CD4_T,Un-epi,42,23016,0.0018248175182481751,0.18331536520041736,0.30176720457326406,0.4923551921180962
CD4_T,Epi-Front,16,9595,0.0016675351745700886,0.08060096307771329,0.8867727487902684,1.0
CD4_T,Newly-epi,18,14431,0.0012473148083985864,-0.3431563543498094,0.21364051557425165,0.40310387730885605
CD8_T,Un-epi,5,23016,0.00021724018074383038,0.583853294784146,0.2791512906299619,0.46413106152933425
CD8_T,Epi-Front,0,9595,0.0,-1.6132959091966066,0.35742912000418825,0.5420353687975602
CD8_T,Newly-epi,2,14431,0.0001385905342665096,0.11981562199273642,1.0,1.0
Endo_Arterial,Un-epi,16,23016,0.0006951685783802572,0.29434667758916155,0.337310006041049,0.5288187479322071
Endo_Arterial,Epi-Front,2,9595,0.00020844189682126107,-1.1658369322253854,0.14698604025639916,0.32196942151401725
Endo_Arterial,Newly-epi,9,14431,0.0006236574041992932,0.1713459226328187,0.8349324007302872,0.9673850271169606
Endo_Capillary,Un-epi,304,23016,0.013208202989224887,0.04201216041257622,0.5122414125923289,0.7270584737818678
Endo_Capillary,Epi-Front,146,9595,0.015216258467952059,0.2487530115850362,0.022174994410470973,0.06375310893010405
Endo_Capillary,Newly-epi,154,14431,0.01067147113852124,-0.2633573786308563,0.005129935123975551,0.01642753158153054
Endo_Lymphatic,Un-epi,141,23016,0.006126173096976017,0.25412957751276005,0.003685003324639464,0.01240318192195722
Endo_Lymphatic,Epi-Front,50,9595,0.005211047420531527,0.02996523208921682,0.9362386677977876,1.0
Endo_Lymphatic,Newly-epi,51,14431,0.0035340586237959945,-0.5305622871773789,0.0009823854285695016,0.003765810809516423
Endo_Prolif,Un-epi,14,23016,0.0006082725060827251,0.10793355335828017,0.8482144078344365,0.9673850271169606
Endo_Prolif,Epi-Front,6,9595,0.0006253256904637832,0.21267469102834458,0.8114496513441138,0.9653452748748941
Endo_Prolif,Newly-epi,7,14431,0.0004850668699327836,-0.16969099520224823,0.6807253634282281,0.8618357812210594
Endo_Venous,Un-epi,256,23016,0.011122697254084116,0.04686327528988295,0.5029335045810361,0.7229669128352395
Endo_Venous,Epi-Front,106,9595,0.011047420531526837,0.04104029456521144,0.7817287540630122,0.9463032286025937
Endo_Venous,Newly-epi,145,14431,0.010047813734321946,-0.09761054645036213,0.3328652303310783,0.5279931239734345
Fib_CD45,Un-epi,196,23016,0.00851581508515815,0.07794513051042834,0.30326225601476936,0.4923551921180962
Fib_CD45,Epi-Front,79,9595,0.008233454924439812,0.03472499819272167,0.8479658830054593,0.9673850271169606
Fib_CD45,Newly-epi,105,14431,0.007276003048991754,-0.14587533208246764,0.21907819418959568,0.40310387730885605
Fib_EN1,Un-epi,53,23016,0.002302745915884602,0.07929230065718904,0.6229989679923738,0.8346976464363842
Fib_EN1,Epi-Front,21,9595,0.0021886399166232413,0.0263724836146849,1.0,1.0
Fib_EN1,Newly-epi,29,14431,0.0020095627468643892,-0.10606578542359099,0.6688750968540589,0.8546737348690752
Fib_Fasci,Un-epi,131,23016,0.005691692735488356,0.23418090598960015,0.011465785945649211,0.03516174356665758
Fib_Fasci,Epi-Front,40,9595,0.004168837936425221,-0.20260566576153322,0.3227038326806011,0.5178270803479413
Fib_Fasci,Newly-epi,57,14431,0.003949830226595523,-0.2857821813998017,0.07160042545319516,0.1796519765916533
Fib_Inflama,Un-epi,799,23016,0.034714980882864094,0.027257856794052567,0.46108344770989884,0.6697843766733268
Fib_Inflama,Epi-Front,367,9595,0.03824908806670141,0.16818648769399183,0.012698963348933258,0.038096890046799774
Fib_Inflama,Newly-epi,437,14431,0.030282031737232346,-0.169091309008063,0.0024310975708892934,0.008387286619568063
Fib_K14,Un-epi,7283,23016,0.31643204727146335,0.1611261712719965,6.027524370622345e-56,5.9414168796134544e-55
