Cell_Type,Day,Median_X,Median_Y,N
Fib_K14,5,0.0,0.38804617299731653,217
Fib_K14,12,1526.8323560192255,0.11197016864449282,5873
Fib_K14,19,-1303.883768640529,0.17087559551930787,17693
Fib_K14,26,562.1259672326257,0.11592835444622211,2685
Fib_K14,60,0.0,0.11310906258537612,4613
KC_Basal,5,0.0,0.2997054650187582,51
KC_Basal,12,4276.236059389273,0.10805191444962463,259
KC_Basal,19,1985.7817831860402,0.05379588571367455,284
KC_Basal,26,4233.127813529713,0.08917175399193156,586
KC_Basal,60,0.0,0.11395990292125618,800
KC_Spinous,12,4698.492656302615,0.1430385697022048,4758
KC_Spinous,19,2331.445721856022,0.07470900665750571,4420
KC_Spinous,26,4290.222385198128,0.10322574112616378,2263
KC_Spinous,60,0.0,0.13206590514764405,9652
KC_Spinous_Mig,5,0.0,0.2522050927037418,36
KC_Spinous_Mig,12,1817.562853053324,0.13077316085902554,4812
KC_Spinous_Mig,19,496.30106589642173,0.05631379984393937,6752
KC_Spinous_Mig,26,2071.5925566748097,0.08634519071450607,3971
KC_Spinous_Mig,60,0.0,0.14324245189735776,1159
SAC_SG_Dark,5,0.0,0.652089722558482,1825
SAC_SG_Dark,12,728.2750767273691,0.7805022828473127,6790
SAC_SG_Dark,19,-2058.3598301340335,0.5398751820620974,11873
SAC_SG_Dark,26,1359.2055573283262,0.5260008923963941,382
SAC_SG_Dark,60,0.0,0.2626802732454497,3789
SAC_SG_Progenitor,5,0.0,0.6169789678946594,2372
SAC_SG_Progenitor,12,790.6670300751603,0.7125198192880606,2334
SAC_SG_Progenitor,19,-1729.3605392589802,0.5498972020968074,3150
SAC_SG_Progenitor,26,783.547712325211,0.48936455688879027,13577
SAC_SG_Progenitor,60,0.0,0.24962652897944632,9677
