gene,test,statistic,p_raw,n_blocks_Un-epi,n_blocks_Epi-Front,n_blocks_Newly-epi,p_adjusted_bh
KLF4,Kruskal-Wallis,0.1484901,0.92844415,94,22,36,0.9812526702880859
SOX2,Kruskal-Wallis,1.3427867,0.5109961,94,22,36,0.6813281377156576
POU5F1,Kruskal-Wallis,1.9649446,0.37438437,94,22,36,0.5844313055276871
MYC,Kruskal-Wallis,6.560551,0.03761789,94,22,36,0.11285366490483284
GRHL3,Kruskal-Wallis,5.5075593,0.06368669,94,22,36,0.1528480589389801
TP63,Kruskal-Wallis,2.07959,0.35352713,94,22,36,0.5844313055276871
TACSTD2,Kruskal-Wallis,0.037850622,0.9812527,94,22,36,0.9812526702880859
IGFL1,Kruskal-Wallis,0.15885516,0.9236449,94,22,36,0.9812526702880859
COL1A1,Kruskal-Wallis,1.8851624,0.38962087,94,22,36,0.5844313055276871
ACTA2,Kruskal-Wallis,14.494911,0.00071198365,94,22,36,0.004271901911124587
FN1,Kruskal-Wallis,17.60914,0.00015004577,94,22,36,0.001800549274776131
TGFB1,Kruskal-Wallis,12.439027,0.0019902133,94,22,36,0.007960853166878223
