gene,region_1,region_2,test,statistic,p_raw,n_blocks_1,n_blocks_2,p_adjusted_bh
KLF4,Un-epi,Epi-Front,two-sided Mann-Whitney U,1013.0,0.8851286,94,22,0.993570864200592
KLF4,Un-epi,Newly-epi,two-sided Mann-Whitney U,1616.0,0.6940043,94,36,0.9419701894124349
KLF4,Epi-Front,Newly-epi,two-sided Mann-Whitney U,393.5,0.97431874,22,36,0.993570864200592
SOX2,Un-epi,Epi-Front,two-sided Mann-Whitney U,1067.0,0.40517136,94,22,0.8103427290916443
SOX2,Un-epi,Newly-epi,two-sided Mann-Whitney U,1651.0,0.5271008,94,36,0.8945531845092772
SOX2,Epi-Front,Newly-epi,two-sided Mann-Whitney U,374.0,0.2757785,22,36,0.6457905694842339
POU5F1,Un-epi,Epi-Front,two-sided Mann-Whitney U,970.0,0.20378025,94,22,0.5240063539573124
POU5F1,Un-epi,Newly-epi,two-sided Mann-Whitney U,1699.5,0.9031065,94,36,0.993570864200592
POU5F1,Epi-Front,Newly-epi,two-sided Mann-Whitney U,422.0,0.28701803,22,36,0.6457905694842339
MYC,Un-epi,Epi-Front,two-sided Mann-Whitney U,1232.0,0.16380762,94,22,0.5158206086892348
MYC,Un-epi,Newly-epi,two-sided Mann-Whitney U,2154.0,0.01605024,94,36,0.08742975443601608
MYC,Epi-Front,Newly-epi,two-sided Mann-Whitney U,425.5,0.63705945,22,36,0.9419701894124349
GRHL3,Un-epi,Epi-Front,two-sided Mann-Whitney U,733.0,0.015928576,94,22,0.08742975443601608
GRHL3,Un-epi,Newly-epi,two-sided Mann-Whitney U,1592.5,0.5466714,94,36,0.8945531845092772
GRHL3,Epi-Front,Newly-epi,two-sided Mann-Whitney U,471.0,0.18626855,22,36,0.5158206086892348
TP63,Un-epi,Epi-Front,two-sided Mann-Whitney U,1143.5,0.43947887,94,22,0.8326968142860814
TP63,Un-epi,Newly-epi,two-sided Mann-Whitney U,1948.5,0.17821017,94,36,0.5158206086892348
TP63,Epi-Front,Newly-epi,two-sided Mann-Whitney U,419.5,0.7046524,22,36,0.9419701894124349
TACSTD2,Un-epi,Epi-Front,two-sided Mann-Whitney U,1057.0,0.8740111,94,22,0.993570864200592
TACSTD2,Un-epi,Newly-epi,two-sided Mann-Whitney U,1720.0,0.8860229,94,36,0.993570864200592
TACSTD2,Epi-Front,Newly-epi,two-sided Mann-Whitney U,397.0,0.99357086,22,36,0.993570864200592
IGFL1,Un-epi,Epi-Front,two-sided Mann-Whitney U,1041.5,0.9595652,94,22,0.993570864200592
IGFL1,Un-epi,Newly-epi,two-sided Mann-Whitney U,1777.5,0.64883554,94,36,0.9419701894124349
IGFL1,Epi-Front,Newly-epi,two-sided Mann-Whitney U,393.5,0.9728619,22,36,0.993570864200592
COL1A1,Un-epi,Epi-Front,two-sided Mann-Whitney U,1126.0,0.51932764,94,22,0.8945531845092772
COL1A1,Un-epi,Newly-epi,two-sided Mann-Whitney U,1947.0,0.18546294,94,36,0.5158206086892348
COL1A1,Epi-Front,Newly-epi,two-sided Mann-Whitney U,420.0,0.70647764,22,36,0.9419701894124349
ACTA2,Un-epi,Epi-Front,two-sided Mann-Whitney U,1273.0,0.0930308,94,22,0.41863861307501793
ACTA2,Un-epi,Newly-epi,two-sided Mann-Whitney U,2401.0,0.0002276037,94,36,0.004096866556210443
ACTA2,Epi-Front,Newly-epi,two-sided Mann-Whitney U,479.0,0.1861433,22,36,0.5158206086892348
FN1,Un-epi,Epi-Front,two-sided Mann-Whitney U,1419.5,0.006700234,94,22,0.06030210619792342
FN1,Un-epi,Newly-epi,two-sided Mann-Whitney U,2409.5,0.00019101771,94,36,0.004096866556210443
FN1,Epi-Front,Newly-epi,two-sided Mann-Whitney U,415.5,0.7604637,22,36,0.9777390616280692
TGFB1,Un-epi,Epi-Front,two-sided Mann-Whitney U,1462.0,0.0022669705,94,22,0.027203645557165146
TGFB1,Un-epi,Newly-epi,two-sided Mann-Whitney U,2145.0,0.01700023,94,36,0.08742975443601608
TGFB1,Epi-Front,Newly-epi,two-sided Mann-Whitney U,344.0,0.38103396,22,36,0.8068954383625704
