region,x_block,y_block,block_mean_expression,n_bins,gene
Epi-Front,-2,0,0.26600352,119,KLF4
Epi-Front,-1,0,0.09712411,605,KLF4
Epi-Front,-1,1,0.09064693,217,KLF4
Epi-Front,-1,2,0.031971,252,KLF4
Epi-Front,-1,3,0.0534826,276,KLF4
Epi-Front,-1,4,0.08999419,295,KLF4
Epi-Front,-1,5,0.09567177,328,KLF4
Epi-Front,-1,6,0.07804883,150,KLF4
Epi-Front,-1,7,0.0,86,KLF4
Epi-Front,-1,8,0.12432722,39,KLF4
Epi-Front,-1,9,0.0,37,KLF4
Epi-Front,0,0,0.08565466,792,KLF4
Epi-Front,0,1,0.1503124,771,KLF4
Epi-Front,0,2,0.051537953,281,KLF4
Epi-Front,0,3,0.10111802,200,KLF4
Epi-Front,0,4,0.061084397,128,KLF4
Epi-Front,0,5,0.11038459,114,KLF4
Epi-Front,0,6,0.1682618,105,KLF4
Epi-Front,0,7,0.0,65,KLF4
Epi-Front,0,8,0.13377312,213,KLF4
Epi-Front,0,9,0.04445681,181,KLF4
Epi-Front,1,7,0.43106967,20,KLF4
Newly-epi,0,0,0.09072779,151,KLF4
Newly-epi,0,1,0.17943497,141,KLF4
Newly-epi,0,2,0.0,21,KLF4
Newly-epi,1,0,0.09986543,1018,KLF4
Newly-epi,1,1,0.10904477,1014,KLF4
Newly-epi,1,2,0.10731106,281,KLF4
Newly-epi,1,3,0.07799344,184,KLF4
Newly-epi,1,4,0.07356635,46,KLF4
Newly-epi,1,5,0.13985214,33,KLF4
Newly-epi,1,6,0.0,31,KLF4
Newly-epi,1,7,0.23842135,73,KLF4
Newly-epi,1,8,0.108681895,44,KLF4
Newly-epi,1,9,0.0,22,KLF4
Newly-epi,2,0,0.0737553,1063,KLF4
Newly-epi,2,1,0.15729925,735,KLF4
Newly-epi,2,2,0.10705927,198,KLF4
Newly-epi,2,3,0.13938639,178,KLF4
Newly-epi,2,4,0.13008313,136,KLF4
Newly-epi,2,5,0.16264348,79,KLF4
Newly-epi,2,6,0.0,37,KLF4
Newly-epi,2,7,0.0,101,KLF4
Newly-epi,2,8,0.0886904,149,KLF4
Newly-epi,2,9,0.0,71,KLF4
Newly-epi,3,0,0.0691369,1212,KLF4
Newly-epi,3,1,0.18860511,406,KLF4
Newly-epi,3,2,0.12799062,216,KLF4
Newly-epi,3,3,0.04489468,317,KLF4
Newly-epi,3,4,0.085523605,363,KLF4
Newly-epi,3,5,0.06573053,389,KLF4
Newly-epi,3,6,0.13969648,51,KLF4
Newly-epi,3,8,0.0,99,KLF4
Newly-epi,3,9,0.19256131,68,KLF4
Newly-epi,4,0,0.081778236,1144,KLF4
Newly-epi,4,1,0.1971423,392,KLF4
Newly-epi,4,2,0.0,29,KLF4
Newly-epi,4,3,0.0,36,KLF4
Un-epi,-11,0,0.048875015,316,KLF4
Un-epi,-11,1,0.0774648,188,KLF4
Un-epi,-11,2,0.055009287,204,KLF4
Un-epi,-11,3,0.0,107,KLF4
Un-epi,-11,4,0.05426475,56,KLF4
Un-epi,-10,0,0.03873419,445,KLF4
Un-epi,-10,1,0.053605303,289,KLF4
Un-epi,-10,2,0.050951596,200,KLF4
Un-epi,-10,3,0.100819014,180,KLF4
Un-epi,-10,4,0.06623681,260,KLF4
Un-epi,-10,5,0.016657595,183,KLF4
Un-epi,-10,6,0.0,32,KLF4
Un-epi,-10,7,0.0,28,KLF4
Un-epi,-9,0,0.035162732,960,KLF4
Un-epi,-9,1,0.056949668,322,KLF4
Un-epi,-9,2,0.116980664,395,KLF4
Un-epi,-9,3,0.113065034,589,KLF4
