sample,Grade,Time_category,Time,n_cells,n_fibroblast,n_Fib_K14,Fib_K14_pct_all,Fib_K14_pct_fibroblast
127-1,SPTDI,1-2mph,2mph,9785,2292,476,4.864588656106285,20.767888307155324
127-2,SPTDI,1-2mph,2mph,8217,1856,348,4.235122307411464,18.75
127-3,DPTDI,1-2mph,2mph,8188,2368,80,0.9770395701025891,3.3783783783783785
127-4,DPTDI,1-2mph,2mph,7605,2135,65,0.8547008547008547,3.0444964871194378
235-4--8,Normal,Normal,Normal,13869,918,345,2.487562189054726,37.58169934640523
AJH-255-1,Normal,Normal,Normal,10190,555,212,2.0804710500490677,38.1981981981982
D0-c-1,Normal,Normal,Normal,12162,102,17,0.1397796415063312,16.666666666666668
D0-c-2,Normal,Normal,Normal,14696,176,39,0.2653783342406097,22.15909090909091
DSDB_11dpb,DPTDI,8-14dpi,11dpb,1339,669,15,1.1202389843166543,2.242152466367713
DSDB_12dpb,DPTDI,8-14dpi,12dpb,4898,2086,167,3.4095549203756637,8.00575263662512
DSDB_19dpb,DPTDI,15-28dpi,19dpb,2949,1492,28,0.9494743981010512,1.876675603217158
DSDB_22dpb_healing,DPTDI,15-28dpi,22dpb,9763,1740,591,6.053467171975827,33.96551724137931
DSDB_22dpb_nonhealing1,DPTDI,15-28dpi,22dpb,3904,1535,65,1.6649590163934427,4.234527687296417
DSDB_22dpb_nonhealing2,DPTDI,15-28dpi,22dpb,3625,1285,205,5.655172413793103,15.95330739299611
DSDB_26dpb,DPTDI,15-28dpi,26dpb,17982,2923,401,2.230007785563341,13.718782073212452
DSDB_26dpb_healing,DPTDI,15-28dpi,26dpb,3256,1265,101,3.101965601965602,7.984189723320158
DSDB_5dpb,DPTDI,0-7dpi,5dpb,3939,350,29,0.7362274689007362,8.285714285714286
DSDB_6dpb,DPTDI,0-7dpi,6dpb,6671,2855,92,1.3791035826712637,3.222416812609457
DSDB_7dpb,DPTDI,0-7dpi,7dpb,9787,4124,75,0.7663226729334832,1.8186226964112513
HNS2,Normal,Normal,Normal,7148,111,86,1.2031337437045326,77.47747747747748
HNS3,Normal,Normal,Normal,7874,148,46,0.5842011684023368,31.08108108108108
HNS4,Normal,Normal,Normal,7181,376,46,0.6405793065032725,12.23404255319149
MCY-158-1,DPTDI,1-2mph,1mph,18962,359,189,0.9967303027106845,52.646239554317546
MCY-158-2,DPTDI,1-2mph,1mph,23613,398,171,0.7241773599288528,42.96482412060301
SSDB_10dpb,SPTDI,8-14dpi,10dpb,8099,1112,179,2.210149401160637,16.097122302158272
SSDB_12dpb,SPTDI,8-14dpi,12dpb,509,166,24,4.715127701375246,14.457831325301205
SSDB_19dpb,SPTDI,15-28dpi,19dpb,5503,2803,453,8.231873523532618,16.16125579735997
SSDB_7dpb,SPTDI,0-7dpi,7dpb,5084,1962,115,2.2619984264358775,5.861365953109073
YN-1,Normal,Normal,Normal,14109,56,25,0.177191863349635,44.642857142857146
YN-2,Normal,Normal,Normal,14372,31,16,0.11132758140829391,51.61290322580645
YN-3,Normal,Normal,Normal,14026,86,33,0.23527734207899614,38.372093023255815
