feature	axis	spearman_r	p	fdr
KLF4	wound_x_um	0.002300328795580643	0.7596373049672354	0.8467512253035533
KLF4	surface_axis	0.014445615856704754	0.054675174693323364	0.10935034938664673
KLF4_regulon_proxy	wound_x_um	0.09589981994823125	1.9965553173979963e-37	1.3975887221785975e-36
KLF4_regulon_proxy	surface_axis	0.12260002878621154	3.222219495808372e-60	4.511107294131722e-59
POU5F1	wound_x_um	-5.865308775111574e-05	0.9937756129426321	0.9937756129426321
POU5F1	surface_axis	-0.0020386984765229264	0.7862689949247281	0.8467512253035533
SOX2	wound_x_um	-0.006250118399901737	0.4057990293036231	0.6099811796881645
SOX2	surface_axis	0.003990228520695642	0.5956093545357699	0.7580482694091617
MYC	wound_x_um	-0.005860404205602648	0.43570084263440323	0.6099811796881645
MYC	surface_axis	0.02389172805935417	0.0014819853383673937	0.003457965789523919
epithelialization_score	wound_x_um	-0.009498421823904778	0.20645546423649389	0.36129706241386433
epithelialization_score	surface_axis	0.05022958076437197	2.3086596196076186e-11	8.080308668626665e-11
scar_score	wound_x_um	0.052514361545001546	2.758106483002698e-12	1.2871163587345925e-11
scar_score	surface_axis	0.027283879451427604	0.0002838767535815974	0.0007948549100284727
