sample_key,sample_id,mask_path,mask_shape,mask_values,nonzero_fraction,json_path,analysis_mode,rotation_applied
5dpb,BW32_A01597A3_SDSDB_5dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW32_A01597A3_SDSDB_5dpb.png,2000x2000,0|1|3,0.1252865,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\5dpb_spatial_anchors.json,unhealed_gradient,135
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW13_1_B1_DSDB_12dpb.png,2000x2000,0|3,0.25983875,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\12dpb_DPTDI1_spatial_anchors.json,vertical_stratification,45
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW14_1_C1_SSDB_12dpb.png,2000x2000,0|1|3,0.3554365,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\12dpb_SPTDI1_spatial_anchors.json,almost_healed,135
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW13_A3_DSDB_12dpb.png,2000x2000,0|1|3,0.1099495,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\12dpb_DPTDI2_spatial_anchors.json,vertical_stratification,135
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW14_B3_SSDB_12dpb.png,2000x2000,0|1|3,0.27184525,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\12dpb_SPTDI2_spatial_anchors.json,almost_healed,135
19dpb,BW15D_C6_SDSDB_19dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW15D_C6_SDSDB_19dpb.png,2000x2000,0|1|3,0.28037525,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\19dpb_spatial_anchors.json,wound_healing,-225
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW15D_1_D1_SDSDB_19dpb.png,2000x2000,0|1|3,0.27158675,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\19dpb_p1_spatial_anchors.json,wound_healing,140
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW81_C02846B6_SDSDB_26dpb_part1.png,2000x2000,0|1|3,0.3129765,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\26dpb_p1_spatial_anchors.json,almost_healed,0
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_BW81_C02846B6_SDSDB_26dpb_part2.png,2000x2000,0|1|3,0.41717675,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\26dpb_p2_spatial_anchors.json,wound_healing,0
2mph,2mph_A03699G6.SCT,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\boundary_mask_2mph_A03699G6.SCT.png,2000x2000,0|1|3,0.1351615,F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\mask\2mph_spatial_anchors.json,scar_to_scarless,45

