cell_type,compartment,sample_key,sample_id,day,n_bins,median_x_um,median_depth
KC_Basal,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,51,2882.1320404854323,0.2994619535050669
KC_Basal,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
KC_Basal,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,12,3251.5754052996426,0.09911689256610526
KC_Basal,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,52,-4900.273181610553,0.1765178580342632
KC_Basal,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,247,4378.332504293385,0.10808522702010162
KC_Basal,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,180,1439.0778665706307,0.061186261770809325
KC_Basal,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,104,2427.4589942405555,0.04096340240485199
KC_Basal,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,585,4234.117249687025,0.08935831168996833
KC_Basal,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,1,1865.5791249827785,0.003264180041753359
KC_Basal,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,800,3889.966705197951,0.08756730145185283
KC_Basal_Mig,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,0,,
KC_Basal_Mig,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
KC_Basal_Mig,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,12,3157.7069800971276,0.11505419502656711
KC_Basal_Mig,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,1,-4942.368821127536,0.21595611516826954
KC_Basal_Mig,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,18,5770.085203832057,0.13732431744096707
KC_Basal_Mig,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,16,65.00521234304696,0.04992526218070957
KC_Basal_Mig,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,13,1971.4202447596217,0.05630246418128601
KC_Basal_Mig,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,7,294.0542014049064,0.05877641946086793
KC_Basal_Mig,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,0,,
KC_Basal_Mig,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,2,3843.0736309843674,0.10351659490810784
KC_Basal_Prolif,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,0,,
KC_Basal_Prolif,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
KC_Basal_Prolif,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,2,1877.1365993682903,0.09517933390819733
KC_Basal_Prolif,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,0,,
KC_Basal_Prolif,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,2,411.46031122598123,0.06720915088687174
KC_Basal_Prolif,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,4,-1223.68313592923,0.047168667175629356
KC_Basal_Prolif,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,1,-207.1243353824106,0.00908719539472085
KC_Basal_Prolif,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,3,-975.3039648039389,0.03765556950068001
KC_Basal_Prolif,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,0,,
KC_Basal_Prolif,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,3,3092.883889919971,0.07266925841615113
KC_Spinous,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,7,3459.116312483524,0.24389541754585323
KC_Spinous,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
KC_Spinous,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,979,4820.291799361998,0.1816572450289331
KC_Spinous,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,0,,
KC_Spinous,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,3779,4583.675726457437,0.1335382416548318
KC_Spinous,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,2298,2301.1662766609315,0.08700586801625138
KC_Spinous,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,2122,2369.9983978733417,0.06064972868584352
KC_Spinous,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,2263,4290.222385198127,0.10314661150101206
KC_Spinous,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,0,,
KC_Spinous,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,9652,3225.425289622537,0.1056342923417175
KC_Spinous_Mat,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,0,,
KC_Spinous_Mat,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
KC_Spinous_Mat,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,67,5172.0774230023035,0.17993377415403386
KC_Spinous_Mat,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,0,,
KC_Spinous_Mat,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,2698,4146.71781548911,0.1375287098074738
KC_Spinous_Mat,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,379,2198.5768446356124,0.07475152080951362
KC_Spinous_Mat,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,408,2770.464737894607,0.06936084173755001
KC_Spinous_Mat,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,48,2992.182249565619,0.10830019451247354
KC_Spinous_Mat,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,0,,
KC_Spinous_Mat,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,3509,1563.5274775414919,0.11442465016970942
KC_Granular,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,0,,
KC_Granular,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,0,,
KC_Granular,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,659,4497.144000359745,0.20551693783148028
KC_Granular,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,0,,
KC_Granular,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,521,4436.057651561802,0.18087585590566194
KC_Granular,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,736,2256.1463559303747,0.12249647411013595
KC_Granular,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,403,3029.5918814635766,0.1095541812034284
KC_Granular,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,117,1845.3284050675852,0.10526634835032748
KC_Granular,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,0,,
KC_Granular,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,489,4150.4830318321065,0.15490377556758594
SAC_SG_Clear,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,418,-2283.313145639051,0.5930536456611301
SAC_SG_Clear,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,73,1777.0794303160503,0.8090049434565387
SAC_SG_Clear,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,212,769.4538266395634,0.7922482678651095
SAC_SG_Clear,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,128,-408.34850222353657,0.6879965753466989
SAC_SG_Clear,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,245,610.6876405536511,0.7608864518696424
SAC_SG_Clear,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,262,-1176.5732429247537,0.6670374717651101
SAC_SG_Clear,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,340,-2226.034940372545,0.5271415244904702
SAC_SG_Clear,Other KC/SAC,26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,180,1467.7241036441255,0.5506062646221188
SAC_SG_Clear,Other KC/SAC,26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,142,2162.490777685369,0.44193073003690475
SAC_SG_Clear,Other KC/SAC,2mph,2mph_A03699G6.SCT,60,499,3296.225687814143,0.43775825332478374
SAC_SG_Ductal,Other KC/SAC,5dpb,BW32_A01597A3_SDSDB_5dpb,5,752,-2224.6698882439296,0.5854947884807986
SAC_SG_Ductal,Other KC/SAC,12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,473,896.3718381706244,0.7645720635949859
SAC_SG_Ductal,Other KC/SAC,12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,655,812.4105635966462,0.7821584345974696
SAC_SG_Ductal,Other KC/SAC,12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,564,-1027.7273057526247,0.7071569801273792
SAC_SG_Ductal,Other KC/SAC,12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,954,745.8816371502417,0.7653089938106233
SAC_SG_Ductal,Other KC/SAC,19dpb,BW15D_C6_SDSDB_19dpb,19,746,-1278.2089968909258,0.5511212522191913
SAC_SG_Ductal,Other KC/SAC,19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,936,-2409.523947849628,0.47101340171628925
