sample_key,sample_id,day,group,n_bins,median_x_um,median_depth
5dpb,BW32_A01597A3_SDSDB_5dpb,5,Other KC/SAC,2121,-2133.9797222589746,0.5795105994072692
5dpb,BW32_A01597A3_SDSDB_5dpb,5,Fib/Endo,9620,-2814.41307581408,0.5526496755651373
5dpb,BW32_A01597A3_SDSDB_5dpb,5,Immune,630,-2173.847626413841,0.5497986591840764
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,Other KC/SAC,1216,890.2306872160116,0.7373249457252959
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,Fib/Endo,8575,-360.41399625081993,0.288271832031791
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12,Immune,648,448.71637244479234,0.43696261261759994
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,Other KC/SAC,6560,1909.3858194817221,0.605786889571746
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,Fib/Endo,10319,1154.2966923003423,0.15644324617177693
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12,Immune,2264,634.2196547376361,0.24530894459197417
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,Other KC/SAC,1583,-1146.5133000261796,0.6679588892002505
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,Fib/Endo,17691,-14.912685929575435,0.3636929342693478
12dpb_DPTDI2,BW13_A3_DSDB_12dpb,12,Immune,1829,881.1454494179015,0.4612909319529182
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,Other KC/SAC,10515,3443.7165624060485,0.15340336539631164
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,Fib/Endo,12467,2321.2403122700384,0.1570399594605395
12dpb_SPTDI2,BW14_B3_SSDB_12dpb,12,Immune,1739,1965.4364259117692,0.2030691780859644
19dpb,BW15D_C6_SDSDB_19dpb,19,Other KC/SAC,6744,1520.4323530176048,0.13237268726421877
19dpb,BW15D_C6_SDSDB_19dpb,19,Fib/Endo,18003,-2882.029837525365,0.21340618902932315
19dpb,BW15D_C6_SDSDB_19dpb,19,Immune,2405,-3353.2877669321215,0.2965788084868514
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,Other KC/SAC,7606,928.0562560021033,0.31201723631898576
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,Fib/Endo,11527,-832.2733384759227,0.18933707038978112
19dpb_p1,BW15D_1_D1_SDSDB_19dpb,19,Immune,1729,-1009.7810224691822,0.25236449891634666
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,Other KC/SAC,9070,1883.8494885864025,0.20179706173750947
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,Fib/Endo,14130,1860.0807666191172,0.16154923673410665
26dpb_p1,BW81_C02846B6_SDSDB_26dpb_part1,26,Immune,5067,1135.1409675107152,0.3885267676401411
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,Other KC/SAC,9352,1177.3930675882007,0.19931510431876487
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,Fib/Endo,12388,1217.8902619507712,0.24287948986935792
26dpb_p2,BW81_C02846B6_SDSDB_26dpb_part2,26,Immune,3975,1129.3307974580605,0.45219214103323435
2mph,2mph_A03699G6.SCT,60,Other KC/SAC,19316,3165.2405790424673,0.12529108377288145
2mph,2mph_A03699G6.SCT,60,Fib/Endo,46473,3807.0081634882517,0.17583236182808193
2mph,2mph_A03699G6.SCT,60,Immune,5277,4331.550159999764,0.28109666887088225

