cell_type,compartment,metric,n_sections,kruskal_statistic,kruskal_p,spearman_rho,spearman_p,kruskal_fdr,spearman_fdr
KC_Basal,Other KC/SAC,median_x_um,9,1.7111111111111086,0.7886983004393996,0.11114765480922503,0.7758899575010633,0.7886983004393996,0.8326623934157753
KC_Basal,Other KC/SAC,median_depth,9,6.600000000000001,0.15859761982533194,-0.760933944463156,0.017252402031475437,0.34012995029957166,0.1380192162518035
KC_Basal_Mig,Other KC/SAC,median_x_um,7,1.571428571428573,0.6658854092726989,0.03742405942825599,0.9365114250694435,0.6893872472470294,0.9472759242081727
KC_Basal_Mig,Other KC/SAC,median_depth,7,5.464285714285712,0.14079040045105173,-0.6174969805662239,0.13954464740813846,0.3221450310173305,0.36117438152694664
KC_Basal_Prolif,Other KC/SAC,median_x_um,6,4.285714285714285,0.2322191439242609,0.0,1.0,0.3585137660585081,1.0
KC_Basal_Prolif,Other KC/SAC,median_depth,6,3.857142857142854,0.2773090569001128,-0.26482044885142486,0.612055238565705,0.40381367486633196,0.6905238588946415
KC_Spinous,Other KC/SAC,median_x_um,7,5.785714285714285,0.21573299487016803,-0.40006613209931946,0.3738474947999902,0.3581981801617884,0.5360424593089821
KC_Spinous,Other KC/SAC,median_depth,7,5.785714285714285,0.21573299487016803,-0.6546536707079773,0.11056669073123553,0.3581981801617884,0.3370585616870088
KC_Spinous_Mat,Other KC/SAC,median_x_um,6,4.714285714285712,0.193954544586844,-0.7944613465542746,0.05902759992532669,0.34012995029957166,0.27667031983801144
KC_Spinous_Mat,Other KC/SAC,median_depth,6,4.714285714285712,0.193954544586844,-0.44136741475237473,0.3809392104771887,0.34012995029957166,0.5360424593089821
KC_Granular,Other KC/SAC,median_x_um,6,4.714285714285712,0.193954544586844,-0.6179143806533246,0.1910939016901931,0.34012995029957166,0.4094362087068668
KC_Granular,Other KC/SAC,median_depth,6,4.714285714285712,0.193954544586844,-0.6179143806533246,0.1910939016901931,0.34012995029957166,0.4094362087068668
SAC_SG_Clear,Other KC/SAC,median_x_um,10,7.772727272727273,0.10026734180655113,0.597910138705744,0.06789346418993146,0.3221450310173305,0.27667031983801144
SAC_SG_Clear,Other KC/SAC,median_depth,10,7.7454545454545425,0.1013603309936849,-0.7426673301818716,0.013872422769963262,0.3221450310173305,0.12207732037567672
SAC_SG_Ductal,Other KC/SAC,median_x_um,10,8.18181818181818,0.08514048066857684,0.5916163477719995,0.0716095303257301,0.3221450310173305,0.27667031983801144
SAC_SG_Ductal,Other KC/SAC,median_depth,10,8.018181818181816,0.09091443716337547,-0.811899030453063,0.004335009581957404,0.3221450310173305,0.06358014053537527
SAC_HF_IRS,Other KC/SAC,median_x_um,10,8.345454545454544,0.079712632557804,0.6608480480431908,0.03749369209343668,0.3221450310173305,0.25380345417095596
SAC_HF_IRS,Other KC/SAC,median_depth,10,8.18181818181818,0.08514048066857684,-0.8181928213868077,0.0038140506104581773,0.3221450310173305,0.06358014053537527
SAC_HF_ORS,Other KC/SAC,median_x_um,10,7.772727272727273,0.10026734180655113,0.6986107936456588,0.024611765639358227,0.3221450310173305,0.18048628135529368
SAC_HF_ORS,Other KC/SAC,median_depth,10,8.18181818181818,0.08514048066857684,-0.8181928213868077,0.0038140506104581773,0.3221450310173305,0.06358014053537527
SAC_HF_HFSC,Other KC/SAC,median_x_um,10,6.872727272727268,0.14276882056449874,0.33986471042221245,0.3366329872237972,0.3221450310173305,0.5020966589100704
SAC_HF_HFSC,Other KC/SAC,median_depth,10,8.345454545454544,0.079712632557804,-0.8370741941880416,0.0025199974871578487,0.3221450310173305,0.06358014053537527
SAC_HF_DP_DS,Other KC/SAC,median_x_um,10,7.036363636363632,0.1339790066792329,0.27063301015102104,0.4494781536631878,0.3221450310173305,0.5418366783885004
SAC_HF_DP_DS,Other KC/SAC,median_depth,10,8.018181818181816,0.09091443716337547,-0.7615487029831055,0.010485333496126365,0.3221450310173305,0.10252326085101335
SAC_HF_Matrix,Other KC/SAC,median_x_um,10,6.463636363636361,0.1670960552311933,0.32098333762097836,0.36582938721203473,0.34012995029957166,0.5360424593089821
SAC_HF_Matrix,Other KC/SAC,median_depth,10,7.772727272727273,0.10026734180655113,-0.8496617760555312,0.0018564144776255112,0.3221450310173305,0.06358014053537527
Melanocyte,Other KC/SAC,median_x_um,9,4.93333333333333,0.2942065670960607,0.06839855680567694,0.8612016986652904,0.41758351458795706,0.9039563138965482
Melanocyte,Other KC/SAC,median_depth,9,5.644444444444446,0.22732143834323704,-0.6839855680567695,0.04216719340979729,0.3585137660585081,0.26505093000444013
Fib_Papi,Fib/Endo,median_x_um,10,6.872727272727268,0.14276882056449874,0.5664411840370207,0.0877885818824814,0.3221450310173305,0.29713058483301397
Fib_Papi,Fib/Endo,median_depth,10,4.5,0.34254747982605904,-0.44685915629587186,0.1954127359737319,0.4432967385984294,0.4094362087068668
Fib_SFRP2,Fib/Endo,median_x_um,10,7.036363636363632,0.1339790066792329,0.40909641069340386,0.24043166280382577,0.3221450310173305,0.43179563932115655
