cell_type,compartment,metric,day_1,day_2,n_sections_day_1,n_sections_day_2,mannwhitney_u,p_value,fdr_bh,significant_fdr_0.05
KC_Basal,Other KC/SAC,median_x_um,5,12,1,3,1.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_x_um,5,19,1,2,2.0,0.6666666666666666,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_x_um,5,26,1,2,1.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_x_um,5,60,1,1,0.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_x_um,12,19,3,2,4.0,0.8,1.0,False
KC_Basal,Other KC/SAC,median_x_um,12,26,3,2,3.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_x_um,12,60,3,1,1.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_x_um,19,26,2,2,1.0,0.6666666666666666,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_x_um,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_x_um,26,60,2,1,1.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_depth,5,12,1,3,3.0,0.5,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,5,19,1,2,2.0,0.6666666666666666,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,5,26,1,2,2.0,0.6666666666666666,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,5,60,1,1,1.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_depth,12,19,3,2,6.0,0.2,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,12,26,3,2,6.0,0.2,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,12,60,3,1,3.0,0.5,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,19,26,2,2,2.0,1.0,1.0,False
KC_Basal,Other KC/SAC,median_depth,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal,Other KC/SAC,median_depth,26,60,2,1,1.0,1.0,1.0,False
KC_Basal_Mig,Other KC/SAC,median_x_um,12,19,3,2,4.0,0.8,1.0,False
KC_Basal_Mig,Other KC/SAC,median_x_um,12,26,3,1,2.0,1.0,1.0,False
KC_Basal_Mig,Other KC/SAC,median_x_um,12,60,3,1,1.0,1.0,1.0,False
KC_Basal_Mig,Other KC/SAC,median_x_um,19,26,2,1,1.0,1.0,1.0,False
KC_Basal_Mig,Other KC/SAC,median_x_um,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Mig,Other KC/SAC,median_x_um,26,60,1,1,0.0,1.0,1.0,False
KC_Basal_Mig,Other KC/SAC,median_depth,12,19,3,2,6.0,0.2,0.9858156028368794,False
KC_Basal_Mig,Other KC/SAC,median_depth,12,26,3,1,3.0,0.5,0.9858156028368794,False
KC_Basal_Mig,Other KC/SAC,median_depth,12,60,3,1,3.0,0.5,0.9858156028368794,False
KC_Basal_Mig,Other KC/SAC,median_depth,19,26,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Mig,Other KC/SAC,median_depth,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Mig,Other KC/SAC,median_depth,26,60,1,1,0.0,1.0,1.0,False
KC_Basal_Prolif,Other KC/SAC,median_x_um,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_x_um,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_x_um,12,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_x_um,19,26,2,1,1.0,1.0,1.0,False
KC_Basal_Prolif,Other KC/SAC,median_x_um,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_x_um,26,60,1,1,0.0,1.0,1.0,False
KC_Basal_Prolif,Other KC/SAC,median_depth,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_depth,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_depth,12,60,2,1,1.0,1.0,1.0,False
KC_Basal_Prolif,Other KC/SAC,median_depth,19,26,2,1,1.0,1.0,1.0,False
KC_Basal_Prolif,Other KC/SAC,median_depth,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Basal_Prolif,Other KC/SAC,median_depth,26,60,1,1,0.0,1.0,1.0,False
KC_Spinous,Other KC/SAC,median_x_um,5,12,1,2,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,5,19,1,2,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,5,26,1,1,0.0,1.0,1.0,False
KC_Spinous,Other KC/SAC,median_x_um,5,60,1,1,1.0,1.0,1.0,False
KC_Spinous,Other KC/SAC,median_x_um,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,12,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,19,26,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_x_um,26,60,1,1,1.0,1.0,1.0,False
KC_Spinous,Other KC/SAC,median_depth,5,12,1,2,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,5,19,1,2,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,5,26,1,1,1.0,1.0,1.0,False
KC_Spinous,Other KC/SAC,median_depth,5,60,1,1,1.0,1.0,1.0,False
KC_Spinous,Other KC/SAC,median_depth,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,12,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,19,26,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous,Other KC/SAC,median_depth,26,60,1,1,0.0,1.0,1.0,False
KC_Spinous_Mat,Other KC/SAC,median_x_um,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_x_um,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_x_um,12,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_x_um,19,26,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_x_um,19,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_x_um,26,60,1,1,1.0,1.0,1.0,False
KC_Spinous_Mat,Other KC/SAC,median_depth,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_depth,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_depth,12,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_depth,19,26,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_depth,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Spinous_Mat,Other KC/SAC,median_depth,26,60,1,1,0.0,1.0,1.0,False
KC_Granular,Other KC/SAC,median_x_um,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_x_um,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_x_um,12,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_x_um,19,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_x_um,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_x_um,26,60,1,1,0.0,1.0,1.0,False
KC_Granular,Other KC/SAC,median_depth,12,19,2,2,4.0,0.3333333333333333,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_depth,12,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_depth,12,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_depth,19,26,2,1,2.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_depth,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
KC_Granular,Other KC/SAC,median_depth,26,60,1,1,0.0,1.0,1.0,False
SAC_SG_Clear,Other KC/SAC,median_x_um,5,12,1,4,0.0,0.4,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,5,19,1,2,0.0,0.6666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,5,26,1,2,0.0,0.6666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,5,60,1,1,0.0,1.0,1.0,False
SAC_SG_Clear,Other KC/SAC,median_x_um,12,19,4,2,8.0,0.13333333333333333,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,12,26,4,2,1.0,0.26666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,12,60,4,1,0.0,0.4,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,19,26,2,2,0.0,0.3333333333333333,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,19,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_x_um,26,60,2,1,0.0,0.6666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,5,12,1,4,0.0,0.4,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,5,19,1,2,1.0,1.0,1.0,False
SAC_SG_Clear,Other KC/SAC,median_depth,5,26,1,2,2.0,0.6666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,5,60,1,1,1.0,1.0,1.0,False
SAC_SG_Clear,Other KC/SAC,median_depth,12,19,4,2,8.0,0.13333333333333333,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,12,26,4,2,8.0,0.13333333333333333,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,12,60,4,1,4.0,0.4,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,19,26,2,2,3.0,0.6666666666666666,0.9858156028368794,False
SAC_SG_Clear,Other KC/SAC,median_depth,19,60,2,1,2.0,0.6666666666666666,0.9858156028368794,False
