"cell_type","color"
"KC_Basal","#008941"
"KC_Basal_Mig","#D60C00"
"KC_Basal_Prolif","#FAFD7C"
"KC_Spinous","#00FF00"
"KC_Spinous_Mig","#1A0099"
"KC_Spinous_Mat","#EE4C97"
"KC_Granular","#882D17"
"SAC_SG_Progenitor","#0099CC"
"SAC_SG_Clear","#B7E4F9"
"SAC_SG_Dark","#193006"
"SAC_SG_Ductal","#8F7700"
"SAC_HF_HFSC","#2B3D26"
"SAC_HF_DP_DS","#99991E"
"SAC_HF_Matrix","#69C8EC"
"SAC_HF_ORS","#A30059"
"SAC_HF_IRS","#CC9900"
"Melanocyte","#171717"
"Fib_Papi","#3DA873"
"Fib_SFRP2","#CCFF00"
"Fib_Fasci","#E7C76F"
"Fib_EN1","#DCD300"
"Fib_Inflama","#800000"
"Fib_CD45","#C50084"
"Fib_Myo","#1B1919"
"Fib_Prolif","#8787FF"
"Fib_K14","#2A6EBB"
"Endo_Arterial","#AD002A"
"Endo_Venous","#2600D1"
"Endo_Lymphatic","#76EE00"
"Endo_Capillary","#CF4E9C"
"Endo_Prolif","#E64B35"
"Pericyte","#FFDC91"
"Schwann","#84BD00"
"M1_Macrophage","#CD534C"
"M2_Macrophage","#3DA873"
"LAM","#5F559B"
"Neutrophil","#DC0000"
"Mast","#e9148f"
"cDC1","#631879"
"cDC2","#FFC20A"
"pDC","#A1CAF1"
"LGHS","#E68FAC"
"B_Mature","#003C67"
"B_Plasma","#3D3B25"
"CD4_T","#C2B280"
"CD8_T","#882D17"
"NK","#A1C299"

