timepoint,time_order,cell_state,n_sections,mean_score,sd_score,sem_score,min_score,max_score,meta_z,meta_p_enrichment,meta_fdr,rank_within_time
Normal,0,KC_Basal,1,0.4897872969604799,,,0.4897872969604799,0.4897872969604799,-15.069858062805489,1.0,1.0,1.0
Normal,0,SAC_HF_Matrix,1,0.3502110968051022,,,0.3502110968051022,0.3502110968051022,-5.08674979862314,0.9999998178740707,1.0,2.0
Normal,0,KC_Granular,1,0.24822751358974712,,,0.24822751358974712,0.24822751358974712,-9.512090723530417,1.0,1.0,3.0
Normal,0,KC_Spinous,1,0.236317668601928,,,0.236317668601928,0.236317668601928,-107.99947480564663,1.0,1.0,4.0
Normal,0,SAC_SG_Dark,1,0.23093630296568335,,,0.23093630296568335,0.23093630296568335,-3.4186988930879716,0.9996853934324865,1.0,5.0
Normal,0,KC_Spinous_Mat,1,0.22812913558765643,,,0.22812913558765643,0.22812913558765643,-96.01390573070499,1.0,1.0,6.0
Normal,0,SAC_HF_DP_DS,1,0.16714620529334429,,,0.16714620529334429,0.16714620529334429,-16.737458250473413,1.0,1.0,7.0
Normal,0,SAC_SG_Progenitor,1,0.12660793604148318,,,0.12660793604148318,0.12660793604148318,-91.41854855472575,1.0,1.0,8.0
Normal,0,KC_Spinous_Mig,1,0.12633574221063856,,,0.12633574221063856,0.12633574221063856,-27.81539453089987,1.0,1.0,9.0
Normal,0,SAC_SG_Ductal,1,0.1092944555891636,,,0.1092944555891636,0.1092944555891636,-54.20822860388611,1.0,1.0,10.0
5 dpb,1,KC_Spinous_Mig,1,0.883231392079642,,,0.883231392079642,0.883231392079642,-0.3303526277074842,0.6294332341732554,1.0,1.0
5 dpb,1,KC_Spinous,1,0.7855768155597797,,,0.7855768155597797,0.7855768155597797,-0.23918691233852385,0.5945196746924476,1.0,2.0
5 dpb,1,KC_Basal,1,0.5652486594239557,,,0.5652486594239557,0.5652486594239557,-1.493425332948002,0.9323370570855369,1.0,3.0
5 dpb,1,SAC_HF_IRS,1,0.00630506337867936,,,0.00630506337867936,0.00630506337867936,-10.60154138255467,1.0,1.0,4.0
5 dpb,1,SAC_SG_Progenitor,1,0.004913839291268571,,,0.004913839291268571,0.004913839291268571,-24.754235085694074,1.0,1.0,5.0
5 dpb,1,KC_Basal_Mig,1,0.0,,,0.0,0.0,0.0,0.5,1.0,6.0
5 dpb,1,KC_Basal_Prolif,1,0.0,,,0.0,0.0,0.0,0.5,1.0,7.0
5 dpb,1,KC_Granular,1,0.0,,,0.0,0.0,0.0,0.5,1.0,8.0
5 dpb,1,KC_Spinous_Mat,1,0.0,,,0.0,0.0,0.0,0.5,1.0,9.0
5 dpb,1,SAC_HF_DP_DS,1,0.0,,,0.0,0.0,-4.825692477370271,0.9999993024117636,1.0,10.0
12 dpb,2,KC_Basal_Prolif,4,0.33067745303208174,0.38194783131658777,0.19097391565829389,0.0,0.6728031759595527,-0.633706247151612,0.7368637263991072,1.0,1.0
12 dpb,2,KC_Basal,4,0.1987340426836421,0.26280127879942505,0.13140063939971253,0.0,0.5543321308498368,-11.730739598486448,1.0,1.0,2.0
12 dpb,2,KC_Basal_Mig,4,0.16228846991760038,0.2213389304778296,0.1106694652389148,0.0,0.468838120619265,-4.097526509105004,0.9999791205820843,1.0,3.0
12 dpb,2,KC_Spinous_Mig,4,0.10425173497701218,0.12059136830025416,0.06029568415012708,0.0,0.21725382259588683,-59.706267243061816,1.0,1.0,4.0
12 dpb,2,KC_Spinous_Mat,4,0.09528231032456348,0.11959707570590378,0.05979853785295189,0.0,0.24799069011703226,-36.02628569798027,1.0,1.0,5.0
12 dpb,2,KC_Spinous,4,0.058721353310549694,0.06781197027317204,0.03390598513658602,0.0,0.11858301326825227,-60.98388368224679,1.0,1.0,6.0
12 dpb,2,KC_Granular,4,0.02934729019901575,0.04603240991984565,0.023016204959922824,0.0,0.09685145737312688,-33.776646700315496,1.0,1.0,7.0
12 dpb,2,SAC_HF_HFSC,4,0.02863246532131197,0.03450536632172293,0.017252683160861464,0.0,0.07684463882861688,-17.362979919473673,1.0,1.0,8.0
12 dpb,2,SAC_HF_ORS,4,0.019769027092762875,0.018358951103541164,0.009179475551770582,0.0059470272187401585,0.04679630057258983,-72.09177588392882,1.0,1.0,9.0
12 dpb,2,SAC_HF_Matrix,4,0.019501541332160952,0.039003082664321904,0.019501541332160952,0.0,0.07800616532864381,-7.349844562598736,0.9999999999999007,1.0,10.0
19 dpb,3,KC_Basal_Prolif,2,0.8936984945246952,0.06522678396540171,0.04612230125692551,0.8475761932677697,0.9398207957816207,-0.4956833100335641,0.6899410678774932,1.0,1.0
19 dpb,3,KC_Basal,2,0.30544181354241573,0.0651239151628949,0.046049562029100405,0.2593922515133153,0.3514913755715161,-30.84160321931602,1.0,1.0,2.0
19 dpb,3,KC_Basal_Mig,2,0.25786574092923104,0.08717130505726133,0.061639420930870666,0.19622631999836035,0.3195051618601017,-10.624586014764317,1.0,1.0,3.0
19 dpb,3,KC_Spinous_Mat,2,0.19790205747857434,0.08842220935598828,0.0625239438431159,0.13537811363545843,0.26042600132169025,-64.09977089840167,1.0,1.0,4.0
19 dpb,3,KC_Spinous_Mig,2,0.15566690906814112,0.014644306032307623,0.010355088101215784,0.14531182096692535,0.16602199716935692,-198.67050580162646,1.0,1.0,5.0
19 dpb,3,KC_Spinous,2,0.12806597225718402,0.006058240404354884,0.00428382287197767,0.12378214938520636,0.1323497951291617,-152.26548224935644,1.0,1.0,6.0
19 dpb,3,SAC_HF_DP_DS,2,0.05897569864820261,0.011890253899767077,0.00840767916255509,0.05056801948564752,0.0673833778107577,-20.610787635699097,1.0,1.0,7.0
19 dpb,3,SAC_SG_Progenitor,2,0.04079251839089541,0.020446121195219533,0.01445759094610173,0.026334927444793686,0.055250109336997144,-135.18173747058455,1.0,1.0,8.0
19 dpb,3,SAC_HF_HFSC,2,0.03521246260278664,0.027534557671863694,0.019469872446746892,0.015742590156039744,0.054682335049533536,-26.746800019204034,1.0,1.0,9.0
19 dpb,3,SAC_HF_ORS,2,0.034493214293917586,0.007564893100936363,0.005349187210623431,0.029144027083294156,0.03984240150454102,-161.56087036429147,1.0,1.0,10.0
26 dpb,4,KC_Basal,2,1.6327333341587675,1.8393497530104754,1.3006166833275083,0.3321166508312591,2.933350017486276,-10.131848959355969,1.0,1.0,1.0
26 dpb,4,KC_Spinous_Mig,2,1.5319535921014584,1.8569225244766348,1.3130425091954712,0.2189110829059872,2.8449961012969296,-34.96413598189022,1.0,1.0,2.0
26 dpb,4,KC_Basal_Prolif,2,0.3679528941128152,0.5203639731687746,0.3679528941128152,0.0,0.7359057882256304,-0.32219201607945647,0.6263463837396706,1.0,3.0
26 dpb,4,KC_Spinous_Mat,2,0.13733278832051943,0.19421789180139196,0.13733278832051943,0.0,0.27466557664103886,-3.6299913298033655,0.999858284629999,1.0,4.0
26 dpb,4,SAC_HF_DP_DS,2,0.07002686129187245,0.04600525643531716,0.03253062879563882,0.037496232496233635,0.10255749008751128,-15.981485165189968,1.0,1.0,5.0
26 dpb,4,SAC_HF_Matrix,2,0.06796512219211803,0.021851172472169247,0.01545111223194769,0.05251400996017034,0.08341623442406572,-9.172808040033308,1.0,1.0,6.0
26 dpb,4,KC_Spinous,2,0.06312940860748488,0.08927846583729791,0.06312940860748487,0.0,0.12625881721496976,-31.164724154997323,1.0,1.0,7.0
26 dpb,4,SAC_HF_IRS,2,0.05570022333115231,0.021558712410659066,0.015244311739227606,0.0404559115919247,0.07094453507037991,-34.610077675994106,1.0,1.0,8.0
26 dpb,4,KC_Basal_Mig,2,0.054457028328696644,0.07701386802897864,0.054457028328696644,0.0,0.10891405665739329,-1.6157008859066828,0.9469205003176621,1.0,9.0
26 dpb,4,SAC_HF_ORS,2,0.054191663934156115,0.006761544376037417,0.00478113387958982,0.04941053005456629,0.05897279781374593,-92.07869215097757,1.0,1.0,10.0
2 mph,5,KC_Basal_Prolif,1,0.43162560292777713,,,0.43162560292777713,0.43162560292777713,-1.156656456619493,0.8762936267910497,1.0,1.0
2 mph,5,KC_Spinous_Mig,1,0.16905456398252514,,,0.16905456398252514,0.16905456398252514,-34.275206073865256,1.0,1.0,2.0
2 mph,5,KC_Basal,1,0.15922714959925574,,,0.15922714959925574,0.15922714959925574,-28.893064600710744,1.0,1.0,3.0
2 mph,5,KC_Spinous,1,0.15802343316208478,,,0.15802343316208478,0.15802343316208478,-100.98260323706967,1.0,1.0,4.0
2 mph,5,KC_Spinous_Mat,1,0.15659803095562014,,,0.15659803095562014,0.15659803095562014,-62.219212151600125,1.0,1.0,5.0
2 mph,5,KC_Granular,1,0.094851279713157,,,0.094851279713157,0.094851279713157,-23.77385076843817,1.0,1.0,6.0
2 mph,5,SAC_HF_DP_DS,1,0.04245106328164552,,,0.04245106328164552,0.04245106328164552,-16.139709604594476,1.0,1.0,7.0
2 mph,5,SAC_HF_ORS,1,0.041425159552847056,,,0.041425159552847056,0.041425159552847056,-36.186237201933004,1.0,1.0,8.0
2 mph,5,SAC_HF_HFSC,1,0.0405106632597739,,,0.0405106632597739,0.0405106632597739,-21.782765034174332,1.0,1.0,9.0
2 mph,5,SAC_HF_IRS,1,0.03409837855065459,,,0.03409837855065459,0.03409837855065459,-40.20757059686695,1.0,1.0,10.0

