section,sample_id,timepoint,time_order,conditioned_on,cell_state,comparison_type,n_bins,n_Fib_K14,n_cell_state,fixed_radius_um,cooccurrence_score,p_enrichment,fdr_within_17_FibK14_KC_SAC_states,n_permutations
Normal,NS_C02847B1,Normal,0,Fib_K14,Fib_K14,self,15357,3067,3067,50.0,3.139336605870622,0.001,0.017,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Basal,cross-state,15357,3067,127,50.0,0.4897872969604799,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Basal_Mig,cross-state,15357,3067,2,50.0,0.0,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Basal_Prolif,cross-state,15357,3067,1,50.0,0.0,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Spinous,cross-state,15357,3067,2466,50.0,0.236317668601928,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Spinous_Mig,cross-state,15357,3067,135,50.0,0.12633574221063856,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Spinous_Mat,cross-state,15357,3067,2123,50.0,0.22812913558765643,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,KC_Granular,cross-state,15357,3067,24,50.0,0.24822751358974712,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_SG_Progenitor,cross-state,15357,3067,1484,50.0,0.12660793604148318,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_SG_Clear,cross-state,15357,3067,11,50.0,0.02709966820515672,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_SG_Dark,cross-state,15357,3067,3,50.0,0.23093630296568335,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_SG_Ductal,cross-state,15357,3067,483,50.0,0.1092944555891636,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_HF_IRS,cross-state,15357,3067,359,50.0,0.08887344603927173,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_HF_ORS,cross-state,15357,3067,536,50.0,0.06919717408174222,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_HF_HFSC,cross-state,15357,3067,84,50.0,0.10533186742882174,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_HF_DP_DS,cross-state,15357,3067,56,50.0,0.16714620529334429,1.0,1.0,999
Normal,NS_C02847B1,Normal,0,Fib_K14,SAC_HF_Matrix,cross-state,15357,3067,9,50.0,0.3502110968051022,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,Fib_K14,self,16821,217,217,50.0,3.3246972067618814,0.001,0.017,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Basal,cross-state,16821,217,51,50.0,0.5652486594239557,0.943,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Basal_Mig,cross-state,16821,217,0,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Basal_Prolif,cross-state,16821,217,0,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Spinous,cross-state,16821,217,7,50.0,0.7855768155597797,0.535,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Spinous_Mig,cross-state,16821,217,36,50.0,0.883231392079642,0.635,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Spinous_Mat,cross-state,16821,217,0,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,KC_Granular,cross-state,16821,217,0,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_SG_Progenitor,cross-state,16821,217,2372,50.0,0.004913839291268571,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_SG_Clear,cross-state,16821,217,418,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_SG_Dark,cross-state,16821,217,1825,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_SG_Ductal,cross-state,16821,217,752,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_HF_IRS,cross-state,16821,217,474,50.0,0.00630506337867936,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_HF_ORS,cross-state,16821,217,113,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_HF_HFSC,cross-state,16821,217,116,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_HF_DP_DS,cross-state,16821,217,107,50.0,0.0,1.0,1.0,999
5dpb,BW32_A01597A3_SDSDB_5dpb,5 dpb,1,Fib_K14,SAC_HF_Matrix,cross-state,16821,217,23,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,Fib_K14,self,13315,600,600,50.0,2.651181707933568,0.001,0.017,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal_Mig,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal_Prolif,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous_Mig,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous_Mat,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,KC_Granular,cross-state,13315,600,0,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Progenitor,cross-state,13315,600,1046,50.0,0.004072709296509326,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Clear,cross-state,13315,600,73,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Dark,cross-state,13315,600,1230,50.0,0.0009171049252612238,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Ductal,cross-state,13315,600,473,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_IRS,cross-state,13315,600,233,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_ORS,cross-state,13315,600,345,50.0,0.0059470272187401585,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_HFSC,cross-state,13315,600,41,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_DP_DS,cross-state,13315,600,43,50.0,0.0,1.0,1.0,999
12dpb_DPTDI1,BW13_1_B1_DSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_Matrix,cross-state,13315,600,8,50.0,0.0,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,Fib_K14,self,29135,3145,3145,50.0,2.910833401994462,0.001,0.017,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal,cross-state,29135,3145,12,50.0,0.5543321308498368,0.993,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal_Mig,cross-state,29135,3145,12,50.0,0.468838120619265,0.999,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Basal_Prolif,cross-state,29135,3145,2,50.0,0.6499066361687742,0.735,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous,cross-state,29135,3145,979,50.0,0.11630239997394651,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous_Mig,cross-state,29135,3145,3415,50.0,0.21725382259588683,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Spinous_Mat,cross-state,29135,3145,67,50.0,0.24799069011703226,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,KC_Granular,cross-state,29135,3145,659,50.0,0.020537703422936118,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Progenitor,cross-state,29135,3145,1328,50.0,0.007970143701958482,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Clear,cross-state,29135,3145,212,50.0,0.005519511650398609,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Dark,cross-state,29135,3145,2104,50.0,0.00304125935081883,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_SG_Ductal,cross-state,29135,3145,655,50.0,0.009097354445019202,1.0,1.0,999
12dpb_SPTDI1,BW14_1_C1_SSDB_12dpb,12 dpb,2,Fib_K14,SAC_HF_IRS,cross-state,29135,3145,470,50.0,0.01676639636651676,1.0,1.0,999
