timepoint,time_order,cell_state,comparison_type,n_sections,mean_score,sd_score,sem_score,p_enrichment_timepoint_permutation,n_permutations,fdr_across_102_timepoint_state_tests
Normal,0,Fib_K14,self,1,3.139336605870622,,,0.001,999,0.017
Normal,0,KC_Basal,cross-state,1,0.4897872969604799,,,1.0,999,1.0
Normal,0,KC_Basal_Mig,cross-state,1,0.0,,,1.0,999,1.0
Normal,0,KC_Basal_Prolif,cross-state,1,0.0,,,1.0,999,1.0
Normal,0,KC_Spinous,cross-state,1,0.236317668601928,,,1.0,999,1.0
Normal,0,KC_Spinous_Mig,cross-state,1,0.12633574221063856,,,1.0,999,1.0
Normal,0,KC_Spinous_Mat,cross-state,1,0.22812913558765643,,,1.0,999,1.0
Normal,0,KC_Granular,cross-state,1,0.24822751358974712,,,1.0,999,1.0
Normal,0,SAC_SG_Progenitor,cross-state,1,0.12660793604148318,,,1.0,999,1.0
Normal,0,SAC_SG_Clear,cross-state,1,0.02709966820515672,,,1.0,999,1.0
Normal,0,SAC_SG_Dark,cross-state,1,0.23093630296568335,,,1.0,999,1.0
Normal,0,SAC_SG_Ductal,cross-state,1,0.1092944555891636,,,1.0,999,1.0
Normal,0,SAC_HF_IRS,cross-state,1,0.08887344603927173,,,1.0,999,1.0
Normal,0,SAC_HF_ORS,cross-state,1,0.06919717408174222,,,1.0,999,1.0
Normal,0,SAC_HF_HFSC,cross-state,1,0.10533186742882174,,,1.0,999,1.0
Normal,0,SAC_HF_DP_DS,cross-state,1,0.16714620529334429,,,1.0,999,1.0
Normal,0,SAC_HF_Matrix,cross-state,1,0.3502110968051022,,,1.0,999,1.0
5 dpb,1,Fib_K14,self,1,3.3246972067618814,,,0.001,999,0.017
5 dpb,1,KC_Basal,cross-state,1,0.5652486594239557,,,0.943,999,1.0
5 dpb,1,KC_Basal_Mig,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,KC_Basal_Prolif,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,KC_Spinous,cross-state,1,0.7855768155597797,,,0.535,999,1.0
5 dpb,1,KC_Spinous_Mig,cross-state,1,0.883231392079642,,,0.635,999,1.0
5 dpb,1,KC_Spinous_Mat,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,KC_Granular,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_SG_Progenitor,cross-state,1,0.004913839291268571,,,1.0,999,1.0
5 dpb,1,SAC_SG_Clear,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_SG_Dark,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_SG_Ductal,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_HF_IRS,cross-state,1,0.00630506337867936,,,1.0,999,1.0
5 dpb,1,SAC_HF_ORS,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_HF_HFSC,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_HF_DP_DS,cross-state,1,0.0,,,1.0,999,1.0
5 dpb,1,SAC_HF_Matrix,cross-state,1,0.0,,,1.0,999,1.0
12 dpb,2,Fib_K14,self,4,2.7488013783240226,0.24403932696566005,0.12201966348283003,0.001,999,0.017
12 dpb,2,KC_Basal,cross-state,4,0.1987340426836421,0.26280127879942505,0.13140063939971253,1.0,999,1.0
12 dpb,2,KC_Basal_Mig,cross-state,4,0.16228846991760038,0.2213389304778296,0.1106694652389148,1.0,999,1.0
12 dpb,2,KC_Basal_Prolif,cross-state,4,0.33067745303208174,0.38194783131658777,0.19097391565829389,0.822,999,1.0
12 dpb,2,KC_Spinous,cross-state,4,0.058721353310549694,0.06781197027317204,0.03390598513658602,1.0,999,1.0
12 dpb,2,KC_Spinous_Mig,cross-state,4,0.10425173497701218,0.12059136830025416,0.06029568415012708,1.0,999,1.0
12 dpb,2,KC_Spinous_Mat,cross-state,4,0.09528231032456348,0.11959707570590378,0.05979853785295189,1.0,999,1.0
12 dpb,2,KC_Granular,cross-state,4,0.02934729019901575,0.04603240991984565,0.023016204959922824,1.0,999,1.0
12 dpb,2,SAC_SG_Progenitor,cross-state,4,0.016671630459937015,0.012409783340537179,0.0062048916702685895,1.0,999,1.0
12 dpb,2,SAC_SG_Clear,cross-state,4,0.006530633768023244,0.009735722423555956,0.004867861211777978,1.0,999,1.0
12 dpb,2,SAC_SG_Dark,cross-state,4,0.012068062181080258,0.012053571522915916,0.006026785761457958,1.0,999,1.0
12 dpb,2,SAC_SG_Ductal,cross-state,4,0.010152127998136359,0.009486033406416792,0.004743016703208396,1.0,999,1.0
