sample_id,n_cells,expected_doublet_rate,threshold,predicted_doublets,predicted_doublet_fraction,integer_fraction_X_nonzero
127-1-Skin-SSDB_Non_Scar-2mph,9785,0.06,0.4550309355566874,22,0.0022483392948390393,1.0
127-2-Skin-SSDB_Non_Scar-2mph,8217,0.06,0.4508531645457977,17,0.002068881586953876,1.0
127-3-Skin-DSDB_Scar-2mph,8188,0.06,0.45440464157732274,19,0.002320468978993649,1.0
127-4-Skin-DSDB_Scar-2mph,7605,0.06,0.4189253392829508,29,0.0038132807363576594,1.0
235-4--8-Skin-Normal-Normal,13869,0.06,0.6901102576194623,1,7.210325185665874e-05,1.0
AJH-255-1-Skin-Normal-Normal,10190,0.06,0.6590845097536666,6,0.0005888125613346418,1.0
D0-c-1-Skin-Normal-Normal,12162,0.06,0.6132645288599847,1,8.2223318533136e-05,1.0
D0-c-2-Skin-Normal-Normal,14696,0.06,0.5713479372391486,0,0.0,1.0
DSDB-BGIHZ-Skin-DSDB-5dpb,3939,0.06,0.4402704986285255,15,0.003808073115003808,1.0
DSDB-BGIHZ1-Skin-DSDB-26dpb,9018,0.06,0.5404000246548322,3,0.00033266799733865603,1.0
DSDB-BGIHZ2-Skin-DSDB-26dpb,8964,0.06,0.4833850143836694,9,0.001004016064257028,1.0
DSDB-BGIQD1-Skin-DSDB-7dpb,3220,0.06,0.44155175347731956,1,0.00031055900621118014,1.0
DSDB-BGIQD2-Skin-DSDB-7dpb,3724,0.06,0.5462363135558344,7,0.0018796992481203006,1.0
DSDB-BGIQD3-Skin-DSDB-7dpb,2843,0.06,0.4343404724590571,1,0.00035174111853675694,1.0
DSDB-JY-Skin-DSDB-12dpb,400,0.06,0.2807588124778686,0,0.0,1.0
DSDB-JY-Skin-DSDB-19dpb,2949,0.06,0.5188677624360933,3,0.001017293997965412,1.0
DSDB-JY1-Skin-DSDB-6dpb,2991,0.06,0.5192759742490872,1,0.00033433634236041456,1.0
DSDB-JY2-Skin-DSDB-6dpb,3680,0.06,0.4086190152632291,28,0.007608695652173913,1.0
DSDB-XGY-Skin-DSDB-11dpb,1339,0.06,0.40400438090939117,4,0.002987303958177745,1.0
DSDB-XGY-Skin-DSDB-12dpb,4498,0.06,0.5543296426093407,2,0.00044464206313917296,1.0
DSDB-healing-XGY-Skin-DSDB-26dpb,3256,0.06,0.5139376165144729,2,0.0006142506142506142,1.0
DSDB-healing1-XGY-Skin-DSDB-22dpb,5469,0.06,0.5834270393521017,5,0.0009142439202779302,1.0
DSDB-healing2-XGY-Skin-DSDB-22dpb,4294,0.06,0.5471133748057734,4,0.0009315323707498836,1.0
DSDB-nonhealing1-XGY-Skin-DSDB-22dpb,3904,0.06,0.45018913172468233,1,0.00025614754098360657,1.0
DSDB-nonhealing2-XGY-Skin-DSDB-22dpb,3625,0.06,0.39526014427220524,6,0.0016551724137931034,1.0
HNS2-XGY-Skin-Normal-Normal,7148,0.06,0.6271223251357394,4,0.0005595970900951316,1.0
HNS3-XGY-Skin-Normal-Normal,7874,0.06,0.6490257638038897,0,0.0,1.0
HNS4-BGIHZ-Skin-Normal-Normal,7181,0.06,0.4831649442931798,17,0.002367358306642529,1.0
MCY-158-1-Skin-DSDB_Scar-1mph,18962,0.06,0.6377415922986045,5,0.00026368526526737685,1.0
MCY-158-2-Skin-DSDB_Scar-1mph,23613,0.06,0.6368950032862034,3,0.00012704865963664082,1.0
SSDB-BGIQD1-Skin-SSDB-7dpb,2453,0.06,0.48322083934293225,15,0.006114961271911945,1.0
SSDB-BGIQD2-Skin-SSDB-7dpb,2631,0.06,0.30837677186180934,12,0.004561003420752566,1.0
SSDB-JY-Skin-SSDB-12dpb,509,0.06,0.30867429979804395,7,0.0137524557956778,1.0
SSDB-XGY-Skin-SSDB-10dpb,8099,0.06,0.5014237621965597,8,0.0009877762686751452,1.0
SSDB-XGY-Skin-SSDB-19dpb,5503,0.06,0.56744370881161,3,0.0005451571869889151,1.0
YN-1-Skin-Normal-Normal,14109,0.06,0.710129018162043,3,0.00021263023601956197,1.0
YN-2-Skin-Normal-Normal,14372,0.06,0.7120812655086842,1,6.957973838018369e-05,1.0
YN-3-Skin-Normal-Normal,14026,0.06,0.7039428132030654,1,7.129616426636246e-05,1.0
