subcluster,sample_id,distance,n_cells,KC_proxy
Fib_K14,127-1-Skin-SSDB_Non_Scar-2mph,17.079266,476,0.45158902
Fib_K14,127-2-Skin-SSDB_Non_Scar-2mph,16.00205,348,0.47480932
Fib_K14,127-3-Skin-DSDB_Scar-2mph,7.6643753,80,0.6999467
Fib_K14,127-4-Skin-DSDB_Scar-2mph,6.0083666,65,0.7560336
Fib_K14,235-4--8-Skin-Normal-Normal,17.24659,345,0.44808555
Fib_K14,AJH-255-1-Skin-Normal-Normal,15.728252,212,0.48089918
Fib_K14,D0-c-2-Skin-Normal-Normal,18.463486,39,0.42341027
Fib_K14,DSDB-BGIHZ-Skin-DSDB-5dpb,9.595919,29,0.6397627
Fib_K14,DSDB-BGIHZ1-Skin-DSDB-26dpb,8.71787,197,0.6664516
Fib_K14,DSDB-BGIHZ2-Skin-DSDB-26dpb,8.661835,204,0.66819215
Fib_K14,DSDB-BGIQD2-Skin-DSDB-7dpb,12.867577,39,0.54939216
Fib_K14,DSDB-JY-Skin-DSDB-19dpb,11.58439,28,0.58320606
Fib_K14,DSDB-JY1-Skin-DSDB-6dpb,10.696846,23,0.60780424
Fib_K14,DSDB-JY2-Skin-DSDB-6dpb,10.59665,69,0.6106455
Fib_K14,DSDB-XGY-Skin-DSDB-12dpb,3.5730095,156,0.84678227
Fib_K14,DSDB-healing-XGY-Skin-DSDB-26dpb,2.797631,101,0.8779019
Fib_K14,DSDB-healing1-XGY-Skin-DSDB-22dpb,3.753567,406,0.83969545
Fib_K14,DSDB-healing2-XGY-Skin-DSDB-22dpb,3.073591,185,0.8666974
Fib_K14,DSDB-nonhealing1-XGY-Skin-DSDB-22dpb,3.377258,65,0.854533
Fib_K14,DSDB-nonhealing2-XGY-Skin-DSDB-22dpb,2.8992229,205,0.87376034
Fib_K14,HNS2-XGY-Skin-Normal-Normal,15.4369,86,0.48746535
Fib_K14,HNS3-XGY-Skin-Normal-Normal,8.828805,46,0.6630192
Fib_K14,HNS4-BGIHZ-Skin-Normal-Normal,10.16008,46,0.62318134
Fib_K14,MCY-158-1-Skin-DSDB_Scar-1mph,15.394642,189,0.48842508
Fib_K14,MCY-158-2-Skin-DSDB_Scar-1mph,16.008177,171,0.47467393
Fib_K14,SSDB-BGIQD1-Skin-SSDB-7dpb,12.743044,26,0.552586
Fib_K14,SSDB-BGIQD2-Skin-SSDB-7dpb,9.463187,89,0.6437275
Fib_K14,SSDB-JY-Skin-SSDB-12dpb,16.150606,24,0.47153744
Fib_K14,SSDB-XGY-Skin-SSDB-10dpb,8.136075,179,0.68474615
Fib_K14,SSDB-XGY-Skin-SSDB-19dpb,9.9449415,453,0.6294531
Fib_K14,YN-1-Skin-Normal-Normal,10.152772,25,0.62339336
Fib_K14,YN-3-Skin-Normal-Normal,16.370039,33,0.46674573
Fib_Prolif,127-3-Skin-DSDB_Scar-2mph,20.603395,45,0.3832686
Fib_Prolif,127-4-Skin-DSDB_Scar-2mph,22.383568,25,0.3527907
Fib_Prolif,DSDB-BGIHZ1-Skin-DSDB-26dpb,22.640635,91,0.3485945
Fib_Prolif,DSDB-BGIHZ2-Skin-DSDB-26dpb,23.564077,61,0.33392823
