section,sample_id,n_spatial_bins,joint_weight_mean,joint_weight_q95,joint_weight_q99
Normal,NS_C02847B1,15357,0.01591446064412594,0.0,0.6309671401977539
5 dpb,BW32_A01597A3_SDSDB_5dpb,16821,0.0014791395515203476,0.0,0.0
12 dpb DPTDI-1,BW13_1_B1_DSDB_12dpb,13315,0.0031200218945741653,0.0,0.0
12 dpb SPTDI-1,BW14_1_C1_SSDB_12dpb,29135,0.004695484880357981,0.0,0.0
12 dpb DPTDI-2,BW13_A3_DSDB_12dpb,25512,0.0028903752099722624,0.0,0.0
12 dpb SPTDI-2,BW14_B3_SSDB_12dpb,34538,0.004697831347584724,0.0,0.0
19 dpb,BW15D_C6_SDSDB_19dpb,40440,0.004992144647985697,0.0,0.0
19 dpb p1,BW15D_1_D1_SDSDB_19dpb,47042,0.020543297752738,0.0,0.6808639764785767
26 dpb p1,BW81_C02846B6_SDSDB_26dpb_part1,39669,0.003827491542324424,0.0,0.0
26 dpb p2,BW81_C02846B6_SDSDB_26dpb_part2,34928,0.003388065844774246,0.0,0.0
2 mph,2mph_A03699G6.SCT,90304,0.002980937948450446,0.0,0.0
