sample_id,n_cells,expected_doublet_rate,threshold,predicted_doublets,predicted_doublet_fraction,integer_fraction_X_nonzero
FTDI_10dpi_1,7556,0.06,0.47528132754951924,3,0.00039703546850185283,1.0
FTDI_10dpi_2,7822,0.06,0.4998241126246541,6,0.000767067246228586,1.0
FTDI_19dpi_1,6664,0.06,0.46137994681703587,2,0.00030012004801920766,1.0
FTDI_19dpi_2,6704,0.06,0.4824134012123776,5,0.0007458233890214797,1.0
FTDI_1dpi_1,4017,0.06,0.519830372174121,1,0.00024894199651481205,1.0
FTDI_1dpi_2,5474,0.06,0.4889643444887566,2,0.00036536353671903543,1.0
FTDI_2dpi_1,7731,0.06,0.5338719222359315,2,0.0002586987453110852,1.0
FTDI_2dpi_2,7835,0.06,0.5058751336598362,5,0.0006381620931716656,1.0
FTDI_5dpi_1,10435,0.06,0.489404116348209,4,0.0003833253473885961,1.0
FTDI_5dpi_2,10074,0.06,0.4848667892643235,3,0.0002977963073257892,1.0
Normal1,3150,0.06,0.5130311311656092,0,0.0,1.0
Normal2,2167,0.06,0.4616167330378608,0,0.0,1.0
Normal3,4325,0.06,0.5408528815230254,5,0.0011560693641618498,1.0
SS_0.5dpi_1,5397,0.06,0.5760029642701003,0,0.0,1.0
SS_0.5dpi_2,5330,0.06,0.5096567230882141,4,0.00075046904315197,1.0
SS_0dpi_1,21135,0.06,0.6146522408078406,20,0.0009462976105985332,1.0
SS_0dpi_2,19093,0.06,0.5729336231147222,15,0.000785628240716493,1.0
SS_11dpi_1,8636,0.06,0.46003195922453854,15,0.0017369152385363594,1.0
SS_11dpi_2,7529,0.06,0.4883093600885896,5,0.0006640988179041042,1.0
SS_15dpi_1,9049,0.06,0.5331876350102931,1,0.00011050944855785169,1.0
SS_15dpi_2,12892,0.06,0.4793838475406107,11,0.0008532423208191126,1.0
SS_19dpi_1,9192,0.06,0.5427716771044908,2,0.0002175805047867711,1.0
SS_19dpi_2,5533,0.06,0.5740260980268648,5,0.0009036688957166094,1.0
SS_1dpi_1,12042,0.06,0.5875714604076554,5,0.00041521341969772465,1.0
SS_1dpi_2,9877,0.06,0.5635739574930939,0,0.0,1.0
SS_1dpi_3,2385,0.06,0.4770100339456874,2,0.0008385744234800838,1.0
SS_1dpi_4,2847,0.06,0.49559505336270127,1,0.00035124692658939234,1.0
SS_2dpi_1,9459,0.06,0.6375637112331333,1,0.0001057194206575748,1.0
SS_2dpi_2,8568,0.06,0.5036381317065238,3,0.00035014005602240897,1.0
SS_3dpi_1,7392,0.06,0.40949384200671474,19,0.0025703463203463205,1.0
SS_3dpi_2,6602,0.06,0.6016824976361339,2,0.0003029385034837928,1.0
SS_7dpi_1,8601,0.06,0.6341555513058077,10,0.001162655505173817,1.0
SS_7dpi_2,11681,0.06,0.35909355300137136,66,0.005650201181405702,1.0
YZ_0.5dpi_1,5733,0.06,0.5101174000509863,4,0.0006977149834292691,1.0
YZ_0.5dpi_2,5652,0.06,0.564752969406694,2,0.00035385704175513094,1.0
YZ_0dpi_1,16743,0.06,0.7160823968383987,2,0.00011945290569193095,1.0
YZ_0dpi_2,12714,0.06,0.6845752560395457,1,7.865345288658172e-05,1.0
YZ_11dpi_1,7759,0.06,0.49598286471087094,14,0.001804356231473128,1.0
YZ_11dpi_2,7740,0.06,0.46134140335392526,15,0.001937984496124031,1.0
YZ_15dpi_1,10365,0.06,0.5741876529514084,5,0.000482392667631452,1.0
YZ_15dpi_2,12160,0.06,0.5746298647537329,6,0.000493421052631579,1.0
YZ_19dpi_1,7134,0.06,0.6133229096507264,4,0.000560695262125035,1.0
YZ_19dpi_2,6108,0.06,0.4546111434086333,12,0.0019646365422396855,1.0
YZ_1dpi_1,8014,0.06,0.3912602605364875,29,0.0036186673321687048,1.0
YZ_1dpi_2,7803,0.06,0.44940934899618157,21,0.002691272587466359,1.0
YZ_1dpi_3,14477,0.06,0.47292453640109855,33,0.0022794777923602957,1.0
YZ_1dpi_4,11959,0.06,0.6728569170991868,5,0.00041809515845806503,1.0
YZ_2dpi_1,7617,0.06,0.48491653723342587,12,0.0015754233950374162,1.0
YZ_2dpi_2,7780,0.06,0.6233446942194766,6,0.0007712082262210797,1.0
YZ_3dpi_1,10175,0.06,0.3792007202419233,52,0.005110565110565111,1.0
YZ_3dpi_2,10675,0.06,0.5051441335095199,14,0.0013114754098360656,1.0
YZ_7dpi_1,6449,0.06,0.6078076293969625,3,0.0004651884013025275,1.0
YZ_7dpi_2,6031,0.06,0.5675975439334904,1,0.000165809981760902,1.0
