sample,stage,condition,fib_k14_like,fibroblasts,fraction_among_fibroblasts
Adult_10d_A02988C5_Annotated_Spatial.h5ad,Adult,Wound,2463,13946,0.1766097805822458
Adult_19d_B03424F4_Annotated_Spatial.h5ad,Adult,Wound,4298,16207,0.2651940519528599
Adult_1d_C01830C1D1_Annotated_Spatial.h5ad,Adult,Wound,2055,9714,0.211550339715874
Adult_2d_C01830E4F4_Annotated_Spatial.h5ad,Adult,Wound,2078,21191,0.09806049738096362
Adult_5d1_C01830E6F6_Annotated_Spatial.h5ad,Adult,Wound,7831,19473,0.40214656190622916
Adult_nor_A02988C1_Annotated_Spatial.h5ad,Adult,Normal,3998,9911,0.4033901725355665
E16.5_1D_A03091D1_Annotated_Spatial.h5ad,Embryonic,Wound,81,422,0.19194312796208532
E16.5_2D_A03091D4_Annotated_Spatial.h5ad,Embryonic,Wound,922,1540,0.5987012987012987
E16.5_3D_D03056D5_Annotated_Spatial.h5ad,Embryonic,Wound,1657,2607,0.635596471039509
E16.5_6D_C02938F4_Annotated_Spatial.h5ad,Embryonic,Wound,806,2537,0.31769806858494287
E16.5_6H_C02938E1_Annotated_Spatial.h5ad,Embryonic,Wound,148,4238,0.034922133081642284
E16.5_Nor_A02999D1_Annotated_Spatial.h5ad,Embryonic,Normal,73,249,0.2931726907630522
E17.5_1D_A02988A6_Annotated_Spatial.h5ad,Embryonic,Wound,98,1634,0.05997552019583843
E17.5_2D_C02938E3_Annotated_Spatial.h5ad,Embryonic,Wound,281,1086,0.2587476979742173
E17.5_3D_C02926E1_Annotated_Spatial.h5ad,Embryonic,Wound,1447,2620,0.5522900763358779
E17.5_5D_C02926A6_Annotated_Spatial.h5ad,Embryonic,Wound,889,2689,0.330606173298624
E17.5_6H_B03415D4_Annotated_Spatial.h5ad,Embryonic,Wound,348,1519,0.22909809084924293
E17.5_Nor_C02845B1_Annotated_Spatial.h5ad,Embryonic,Normal,117,536,0.21828358208955223
E18.5_1D_C03049D4_Annotated_Spatial.h5ad,Embryonic,Wound,228,1151,0.19808861859252824
E18.5_2D_A02988D2_Annotated_Spatial.h5ad,Embryonic,Wound,1322,4201,0.3146869792906451
E18.5_3D_C02926E5_Annotated_Spatial.h5ad,Embryonic,Wound,1054,2800,0.37642857142857145
E18.5_5D_C02926D4_Annotated_Spatial.h5ad,Embryonic,Wound,1332,3085,0.43176661264181526
E18.5_6H_A02885C5_Annotated_Spatial.h5ad,Embryonic,Wound,514,2165,0.2374133949191686
E18.5_Nor_C02926A1_Annotated_Spatial.h5ad,Embryonic,Normal,358,1924,0.18607068607068608
P5_1D_C02926D3_Annotated_Spatial.h5ad,Postnatal,Wound,3123,7244,0.4311154058531198
P5_2D_A02998D6_Annotated_Spatial.h5ad,Postnatal,Wound,3583,8484,0.4223243752946723
P5_3D_B02621C2_Annotated_Spatial.h5ad,Postnatal,Wound,2139,8053,0.26561529864646716
P5_6D_A03000C5_Annotated_Spatial.h5ad,Postnatal,Wound,3280,6068,0.5405405405405406
P5_6H_C02926C6_Annotated_Spatial.h5ad,Postnatal,Wound,1608,7312,0.21991247264770242
P5_Nor_C02926B1_Annotated_Spatial.h5ad,Postnatal,Normal,2965,11114,0.26678063703437105
