KC_Basal	KC_Basal_Quies	KC_Basal_Mig	KC_Basal_Prolif	KC_Spinous	KC_Spinous_Mig	KC_Spinous_Mat	KC_Granular	SAC_SG_Progenitor	SAC_SG_Clear	SAC_SG_Dark	SAC_SG_Ductal	SAC_HF_HFSC	SAC_HF_DP_DS	SAC_HF_Matrix	SAC_HF_ORS	SAC_HF_IRS	Melanocyte	Fib_Papi	Fib_SFRP2	Fib_Fasci	Fib_EN1	Fib_Inflama	Fibrocyte	Fib_Myo	Fib_Prolif	Fib_K14	Endo_Arterial	Endo_Venous	Endo_Lymphatic	Endo_Capillary	Endo_Prolif	Pericyte	Neuron	Schwann	M1_Macrophage	M2_Macrophage	LAM	Neutrophil	Mast	cDC1	cDC2	pDC	LGHS	B_Mature	B_Plasma	CD4_T	CD8_T	NK
ALX1	0.16747688551045	0.141835663615872	0.0922451394475399	0.0793845916218103	0.128229292747639	0.134296831321121	0.0785869218329682	0.29521203470455	0.0175326808949525	0.0169278550070093	0.0443182093070713	0.0820011187871607	0.00140714262955632	0.00687093714505083	0.00183495882570284	0.00674176090001644	0.00361493234240495	0.370335476831547	0.0203684739436568	0.063475483347923	0.0167384143955369	0.0228527994373633	0.0448520347129069	0.0407428138411243	0.0746511495244897	0.0135776442636287	0.0468133403910339	0.0376288862960784	0.100484075845929	0.00894726442583071	0.0370638712618185	0.00877172281915173	0.0684549081428126	0.0217668922636841	0.0306888382166053	0.0199873230191456	0.0166869843725006	0.0208208763382404	0.00174904005518517	0.032233141596216	0.00191853683827437	0.0102138888804918	0.00373811816208569	0.00745352557377377	0.00665636087227806	0.00271136619223178	0.0345615676543307	0.0223102762610883	0.0032955242113849
AR	0.234787683333581	0.267657010079004	0.11379142569791	0.105587813161144	0.226863171470208	0.175853835526572	0.121343731248791	0.275528282022772	0.0474034882237007	0.0245718765927337	0.105493306769783	0.0769795367669703	0.00454205282093789	0.00478273808321072	0.00100673952281194	0.00447340482428604	0.00259546388131571	0.0222781567468671	0.0176580533044344	0.0523043980091051	0.0153125751422478	0.0204724485718037	0.0212149223698275	0.0258721875165707	0.0768646378467981	0.0102027002765867	0.0386689150776415	0.0196257404927265	0.0667073945530009	0.0078229092150226	0.0328696916415544	0.00440707048958755	0.0585564350041224	0.0283389751583334	0.00837888114144325	0.00760915714360877	0.00338757046747662	0.00438257564825739	0.00181566339692329	0.0120985390274116	0.00149849833417592	0.00603974414072916	0.00251658149076739	0.00552722922463034	0.00687307026277539	0.00387063678978072	0.0290308842961944	0.014243624006411	0.00267718419669349
ARID3A	0.195278480127749	0.159820947798095	0.111940314364937	0.0928001485974872	0.13520627106803	0.12718111468985	0.0698987675919736	0.193516928294389	0.0247704347942304	0.0172840937472591	0.0635300984782903	0.0846025187775842	0.0015548658385458	0.00319757583784419	0.00168617742463217	0.00775434695663679	0.00377554930736723	0.0342240678891892	0.0291204903195446	0.0473174167973245	0.0183242636555931	0.0191848771605905	0.0625868920120423	0.141915136477101	0.0785917460339502	0.0252449387926019	0.0604004769069184	0.0397956926122934	0.107405161434436	0.0113239262332314	0.0402154550302742	0.0111450754326037	0.0943273774367361	0.019102528396745	0.0108806446999314	0.137683525003717	0.10739374012734	0.0851393122127466	0.00618672155565525	0.0550482162188365	0.0191308908116284	0.0601385733174535	0.0606410537713504	0.0368123069152395	0.0415943438627857	0.0213382201547583	0.145359267011868	0.0760737010626797	0.0156377512595525
ARID5A	0.274440523506648	0.187422166651003	0.137052956478574	0.123977476939851	0.153738294974292	0.167295748601459	0.0824493113355385	0.247007759558163	0.0358848977421471	0.0612777330503649	0.0931005150822721	0.129988875680301	0.00389533286290733	0.00811455008614592	0.0031336176286596	0.0112722392065702	0.00631296371549239	0.0401939896127128	0.0302256132873323	0.0735744302971533	0.0245215234811839	0.0258252187647495	0.0593170597733426	0.0596631557241044	0.1421607753706	0.0262693144626531	0.0680906926156697	0.0680639005847827	0.157052708565487	0.0121533231325887	0.0544012217104947	0.016363985330077	0.141737372215236	0.0113876600950633	0.0144129474541399	0.0328254601730853	0.0262996725915593	0.0210503441945071	0.00310885289682883	0.0256493069312793	0.00361546572753768	0.0148879383124881	0.00807213755047742	0.0103572887242809	0.0113576769795815	0.00408065741906016	0.0614590824341259	0.0303821747286048	0.00578874800263307
ASCL1	0.103870874201566	0.103310080790119	0.0479979858937687	0.0540441683599753	0.0960096001244302	0.0767037807307891	0.0566501189471964	0.108264338190418	0.0132649509612108	0.0108697495808717	0.0497469483322122	0.0471372936400744	0.00114380748557585	0.00219154247992781	0.000127030066512823	0.00238926637326453	0.00101180476425533	0.0120119155007823	0.0140183889867806	0.0274455550240311	0.0118070940118498	0.0141337124237177	0.0173478845141699	0.0240633176951194	0.0369738283500232	0.00817672057140539	0.0235639092199991	0.0141826143657433	0.0472516027013508	0.00610229920037775	0.017714434717468	0.00546635340157575	0.0333321431753657	0.0286489191535793	0.00709901243813227	0.00346975677505035	0.00366796131312752	0.00407007037544482	0.00103280402592509	0.0102895823417865	0.00039837155485789	0.004712102296488	0.00379954478762201	0.00650697836439473	0.00940144755569583	0.0038197905586177	0.029767026160008	0.0144483106312173	0.00352294772059603
ATF2	0.0416262721469164	0.0613486688076663	0.00921045715967739	0.0215717383994116	0.0568680119478817	0.0376326024776508	0.0352497679034449	0.0531410058046977	0.00348142961610565	0.00460422992418552	0.0227751830621723	0.0199416154937906	0.0010170453105901	0.00190691493142736	0.00117834852120047	0.00128610009566965	0.00167321903866047	0.00872435413265094	0.00940435142426399	0.0348566250942834	0.0100049771458478	0.0117653100519608	0.00518477104074111	0.0113315057569782	0.0363912445986091	0.00425645285666487	0.0191001455906097	0.0209824254989526	0.037359444946053	0.00301679843930591	0.0241883842060944	0.00811662183888595	0.0336047618319963	0.116744331730281	0.0122330239890084	0.00127978229779246	0.00156789966883997	0.00246517833339976	8.88178419700125e-16	0.00653767209720857	0.00271064837586543	0.00738917097583092	0.00192687443941864	0.00392442305855023	0.00552519014521224	0.00240641085856386	0.0311838398006021	0.0134376691218802	0.00192557389180847
ATF3	0.287235379863609	0.183271696692285	0.183397672862936	0.129599073457411	0.143260546093853	0.180405285222231	0.0777692570330563	0.2555381061163	0.0346143010033678	0.0500840916235681	0.0864711871424446	0.159130373901933	0.00425125176292607	0.00876049695578529	0.00338930770835577	0.012682495779033	0.00542663863924919	0.0351055055060077	0.0325672030607591	0.0733966255370618	0.0258407490372534	0.0242635684750433	0.0859310800814382	0.0606105492984295	0.142318796969408	0.0339289700741456	0.0697109958008026	0.0496856802429888	0.115184177625018	0.00740948432830746	0.0383385462925766	0.0122377842499629	0.12089752910827	0.00657198809755788	0.0100356991606099	0.0356165132992041	0.0301431892842704	0.0238187672370933	0.00306265177545717	0.0209829938876036	0.00330220110403734	0.0132467197000057	0.00638837606499187	0.0095954667582121	0.00840584378110076	0.00304180473663285	0.0407030390280954	0.0206355273901928	0.00391514611225485
ATF4	0.274735910781612	0.209798991452925	0.154616757870506	0.14209738894537	0.170111681654135	0.197156005111234	0.0957291957955231	0.290406596761872	0.0313204354720982	0.0381508847135046	0.0820937812789497	0.131147593895893	0.00337349460371372	0.00669495584661228	0.00264207843510578	0.00894535305362587	0.00403152132316476	0.0355200455090005	0.0278162388908501	0.0720069366323013	0.0297978936580358	0.0258551307141752	0.0603281708160806	0.0557917213800698	0.118158245061787	0.0277823509141171	0.0596697866904328	0.0503512410309024	0.130260965291119	0.00938872578786443	0.0424143990397987	0.0143931859431323	0.107952280816168	0.00938520886275307	0.0113572254163491	0.0235153458804698	0.0188827377304563	0.0156637685585321	0.0023169958138487	0.0247701402928515	0.00366821630561454	0.0133787698200883	0.00809840303849874	0.00914597592899091	0.0112382553872952	0.00418534064633291	0.0639685850013915	0.0299638627169063	0.00545607390831038
ATF5	0.217595033479935	0.155268267722749	0.14498272056819	0.125699088523275	0.125005742660893	0.177227886428555	0.0753198532511374	0.253750240867418	0.0257220711035231	0.0240541260076477	0.0469998752937666	0.104485048762073	0.00219545524437548	0.00464556875849342	0.0031146943186533	0.0118791479677485	0.00525908213284154	0.0331811672097183	0.0317212472529995	0.0697310179298157	0.0260485902012513	0.021472916734758	0.103223572769311	0.117168593998509	0.0827760057658566	0.0384907684981788	0.0627318293723728	0.0511876128659794	0.118834178520876	0.01071021054676	0.0375559100043157	0.0150511654336545	0.0771012751254937	0.0106337892802012	0.00879454315817574	0.130510198549548	0.125138352577552	0.0985743600090587	0.00563611292184185	0.0378433760390531	0.00904021035061398	0.0426685317205875	0.0235756510832242	0.0259947358722334	0.0191048551530568	0.00636260373473074	0.0715898963100738	0.0370224531807131	0.00768066012501767
BACH2	0.0776126304452025	0.0421615734335048	0.0168426628399686	0.0251714047208288	0.0415105527942128	0.0342736849854749	0.0265457883382649	0.0489478227577367	0.0108776044062431	0.0142329393687242	0.0395960960582569	0.0464546773696535	0.00121431536448502	0.00329019999970093	0.000778075155234648	0.0028184524570829	0.00229677777586657	0.0146399965436477	0.00832940980022845	0.0287125916571229	0.0128998343563824	0.0155213589466754	0.0111218094686658	0.0709501019801595	0.0167045045390588	0.00638250209736957	0.0407303576966802	0.0210890075499823	0.0218534425034622	0.00511441838520754	0.013276863896808	0.00398921256200158	0.0133327417960878	0.0441943362260743	0.0178672903279559	0.0202204952691106	0.00918591457385354	0.00842134238918124	0.00300846233904517	0.00606548943631946	0.00391889073002383	0.0231734186321899	0.00462316686437969	0.00681828222112224	0.0212480284596674	0.00334739615241242	0.11405291031434	0.203425756888686	0.145365225003447
