regulon	Fib_K14_RSS
EMX2	0.0988598172439907
SIX1	0.0932687589781338
HOXA11	0.0908745088819125
EBF2	0.0895677218043267
MSC	0.0893693231464558
RUNX1	0.0847356873483665
TBX15	0.0792593722551951
CREB3L1	0.078301215220614
SOX4	0.0766872822886366
TFCP2L1	0.0760428752438544
NFATC4	0.0755883784845732
KLF9	0.0749096530256179
STAT2	0.0743399535130808
EBF1	0.0742289882303393
SOX2	0.0728881817577576
TGIF2	0.0719819043426488
SOX10	0.0719671135766331
CEBPE	0.0718110989761962
IRF1	0.0711664486201455
PRDM1	0.0710809612151111
ATF3	0.0697109958008026
TGIF1	0.0696344635838346
SOX8	0.0693564579614465
FOXC1	0.0691961004072903
ARID5A	0.0680906926156697
