scope	gene	n_bins	rho	p_value	q_value	direction	significant_FDR_0.05
pooled_two_sections	GRHL3	17693	-0.0024662448659574353	0.7428927805466546	0.7428927805466546	negative	False
pooled_two_sections	TP63	17693	0.018911690166286663	0.011883455103761155	0.017825182655641734	positive	True
pooled_two_sections	TACSTD2	17693	0.019116025807757415	0.010997710757216136	0.017825182655641734	positive	True
pooled_two_sections	COL1A1	17693	-0.003173687988738664	0.6729378231662109	0.7428927805466546	negative	False
pooled_two_sections	ACTA2	17693	0.037337076752261784	6.77258943619216e-07	4.063553661715296e-06	positive	True
pooled_two_sections	FN1	17693	0.03108991562442602	3.5320620130805655e-05	0.00010596186039241696	positive	True
19dpb	GRHL3	4380	0.01260524554445589	0.4042641120078614	0.585856378015102	positive	False
19dpb	TP63	4380	-0.009847411033650638	0.5146935209724517	0.585856378015102	negative	False
19dpb	TACSTD2	4380	0.016760356491963457	0.26743537273155266	0.585856378015102	positive	False
19dpb	COL1A1	4380	0.008234872349344797	0.585856378015102	0.585856378015102	positive	False
19dpb	ACTA2	4380	0.024041508429944257	0.11163646813997623	0.585856378015102	positive	False
19dpb	FN1	4380	0.01215937354961551	0.4210929929104026	0.585856378015102	positive	False
19dpb_p1	GRHL3	13313	-0.006280877127392678	0.4686734633636662	0.4686734633636662	negative	False
19dpb_p1	TP63	13313	0.02301852473621293	0.007906767552781337	0.015813535105562673	positive	True
19dpb_p1	TACSTD2	13313	0.017109828109810016	0.04836754589970858	0.058041055079650294	positive	False
19dpb_p1	COL1A1	13313	-0.01777471408780573	0.04028145578156546	0.058041055079650294	negative	False
19dpb_p1	ACTA2	13313	0.030275335795429972	0.000476374565134746	0.0028582473908084763	positive	True
19dpb_p1	FN1	13313	0.027644751211811223	0.0014226487380166698	0.004267946214050009	positive	True
