group	gene	n_cells	mean_expression	median_expression	percent_expressing
Fib_K14	POU5F1	4734	0.0023236162960529327	0.0	0.23236163920574565
Fib_K14	SOX2	4734	0.008449514396488667	0.0	0.6759611322348965
Fib_K14	KLF4	4734	1.290452003479004	1.0	51.39416983523447
Fib_K14	MYC	4734	1.0099282264709473	0.0	42.4376848331221
Other fibroblasts	POU5F1	29419	0.004622862674295902	0.0	0.31612223393045313
Other fibroblasts	SOX2	29419	0.006356436293572187	0.0	0.3637105272103063
Other fibroblasts	KLF4	29419	1.367891550064087	0.0	43.97158299058432
Other fibroblasts	MYC	29419	1.3148305416107178	0.0	46.13685033481764
KC_Basal	POU5F1	54321	0.0033320446964353323	0.0	0.31663629167357005
KC_Basal	SOX2	54321	0.015794996172189713	0.0	1.336499696250069
KC_Basal	KLF4	54321	1.7569447755813599	1.0	64.87546252830397
KC_Basal	MYC	54321	1.5448721647262573	1.0	54.47064671121665
KC_Basal_Mig	POU5F1	15551	0.000771654536947608	0.0	0.06430454633142563
KC_Basal_Mig	SOX2	15551	0.0021863544825464487	0.0	0.19934409362741945
KC_Basal_Mig	KLF4	15551	2.416050434112549	1.0	73.98881100893833
KC_Basal_Mig	MYC	15551	1.403382420539856	1.0	55.63629348594946
KC_Basal_Prolif	POU5F1	13558	0.004499188624322414	0.0	0.43516742882431036
KC_Basal_Prolif	SOX2	13558	0.011137335561215878	0.0	0.9662192063726214
KC_Basal_Prolif	KLF4	13558	1.795028805732727	1.0	65.42262870629887
KC_Basal_Prolif	MYC	13558	1.2563799619674683	0.0	49.02640507449476
KC_Spinous	POU5F1	17723	0.0031033121049404144	0.0	0.2708345088303335
KC_Spinous	SOX2	17723	0.026575636118650436	0.0	2.2851661682559388
KC_Spinous	KLF4	17723	1.3745415210723877	1.0	59.33532697624556
KC_Spinous	MYC	17723	1.017378568649292	0.0	48.80099305986571
KC_Spinous_Mig	POU5F1	21418	0.0027546922210603952	0.0	0.26146232141189657
KC_Spinous_Mig	SOX2	21418	0.011018768884241581	0.0	0.9291250350172751
KC_Spinous_Mig	KLF4	21418	1.929545283317566	1.0	71.04304790363246
KC_Spinous_Mig	MYC	21418	1.0862826108932495	0.0	45.228312634232886
KC_Spinous_Mat	POU5F1	8616	0.000928505090996623	0.0	0.09285051067780872
KC_Spinous_Mat	SOX2	8616	0.02681058458983898	0.0	2.274837511606314
KC_Spinous_Mat	KLF4	8616	1.6450788974761963	1.0	66.7711234911792
KC_Spinous_Mat	MYC	8616	0.7021819949150085	0.0	37.25626740947075
KC_Granular	POU5F1	42141	0.0017322797793895006	0.0	0.16848200090173465
KC_Granular	SOX2	42141	0.023278992623090744	0.0	1.8865238129137893
KC_Granular	KLF4	42141	2.8092594146728516	2.0	80.84051161576612
KC_Granular	MYC	42141	0.4772074818611145	0.0	27.578842457464226
