sample_key	gene	axis	axis_description	n_bins	rho	p_value	q_value
19dpb	POU5F1	wound_x_um	Epi-Front axis	4380			
19dpb	POU5F1	surface_axis	deep-to-surface axis	4380			
19dpb	SOX2	wound_x_um	Epi-Front axis	4380			
19dpb	SOX2	surface_axis	deep-to-surface axis	4380			
19dpb	KLF4	wound_x_um	Epi-Front axis	4380	0.01472234001238523	0.32999584899928136	0.43999446533237513
19dpb	KLF4	surface_axis	deep-to-surface axis	4380	-0.023025028345846098	0.12760878361750216	0.3196254996190931
19dpb	MYC	wound_x_um	Epi-Front axis	4380	0.010518881619591261	0.48644346175574227	0.48644346175574227
19dpb	MYC	surface_axis	deep-to-surface axis	4380	-0.021243743704506154	0.15981274980954654	0.3196254996190931
19dpb_p1	POU5F1	wound_x_um	Epi-Front axis	13313	-0.0015652964964886769	0.8566892861212609	0.8566892861212609
19dpb_p1	POU5F1	surface_axis	deep-to-surface axis	13313	-0.002857934657727468	0.7416086282238996	0.847552717970171
19dpb_p1	SOX2	wound_x_um	Epi-Front axis	13313	-0.009410168127942466	0.2776179974804111	0.4441887959686578
19dpb_p1	SOX2	surface_axis	deep-to-surface axis	13313	0.004209446523010563	0.627214774665541	0.8362863662207213
19dpb_p1	KLF4	wound_x_um	Epi-Front axis	13313	-0.018577667682026844	0.03207203491639631	0.06414406983279262
19dpb_p1	KLF4	surface_axis	deep-to-surface axis	13313	0.02153443922018015	0.01296457523862946	0.03457220063634523
19dpb_p1	MYC	wound_x_um	Epi-Front axis	13313	-0.022603117413486182	0.009105151249299037	0.03457220063634523
19dpb_p1	MYC	surface_axis	deep-to-surface axis	13313	0.03543610012804303	4.3214084305461704e-05	0.00034571267444369363
