predictedGroup	TSSEnrichment_count	TSSEnrichment_mean	TSSEnrichment_median	TSSEnrichment_std	NucleosomeRatio_count	NucleosomeRatio_mean	NucleosomeRatio_median	NucleosomeRatio_std	nFrags_count	nFrags_mean	nFrags_median	nFrags_std	DoubletScore_count	DoubletScore_mean	DoubletScore_median	DoubletScore_std	predictedScore_count	predictedScore_mean	predictedScore_median	predictedScore_std	FibK14_marker_score_count	FibK14_marker_score_mean	FibK14_marker_score_median	FibK14_marker_score_std	Klf4_gene_score_count	Klf4_gene_score_mean	Klf4_gene_score_median	Klf4_gene_score_std
CD4_T	133	17.129360902255637	15.087	8.57215225558933	133	0.30711967372212945	0.316462369843153	0.07959356992256154	133	7895.428571428572	6408.0	4920.851449614943	133	43.42945156171263	0.0	96.63095954762738	133	0.38664084276306065	0.394005975328496	0.05342688806150586	133	0.2277117730618866	0.183767384989608	0.2184797305477139	133	0.523591393254219	0.0	0.7968574787152359
CD8_T	172	16.206953488372093	16.366500000000002	6.740025361166605	172	0.30056984122795005	0.309460904613944	0.08225477864897326	172	7484.319767441861	6281.5	3895.4774087626365	172	54.78873647407746	0.0	103.3468540388632	172	0.48514409070893666	0.44205077905107903	0.10784411094018356	172	0.2182128877812775	0.190730318141104	0.2078899260476767	172	0.5103750827419616	0.0	0.7234866491360035
Endo_Arterial	2277	13.427663592446201	12.766	6.265006525997174	2277	0.2622756756236454	0.264932249322493	0.11567503491663673	2277	12899.889767237593	9493.0	10819.662444205944	2277	87.82098291086602	7.98187519943201	123.96417360010673	2277	0.6742091608803131	0.656197496227498	0.19355240923120243	2277	0.24317390607687986	0.21891675418515	0.1993296173634178	2277	0.7026509078201423	0.594982931772714	0.7366441104983298
Endo_Capillary	1332	12.463636636636636	12.1465	5.197810003073234	1332	0.2867606125635228	0.2945955764668825	0.11428098922306572	1332	13570.68993993994	9771.0	11443.210429698085	1332	80.0423936844625	4.163517550802251	119.15273051789269	1332	0.5452259598985095	0.521745854802137	0.12574231216217233	1332	0.23480030787607642	0.212235370281451	0.19928246263746852	1332	0.6532166108862084	0.5193872619325746	0.7229614938767482
Endo_Lymphatic	121	13.850330578512397	13.515	7.228269148960016	121	0.2560803212477373	0.267951364991971	0.11464602281215606	121	10423.818181818182	8848.0	5663.277382988287	121	116.78261507948964	68.0732227846048	118.39839449687643	121	0.5633252308275999	0.539480605283672	0.17927765629450784	121	0.36210625640518085	0.338134320951876	0.22193657909531297	121	0.9748575819768736	1.08417524087034	0.799149144189319
Endo_Venous	2327	12.778556940266437	12.643	5.180291645406909	2327	0.27701695233391377	0.280371879243706	0.132485658529125	2327	11969.165878813923	9168.0	8751.227075093517	2327	74.51727157569289	2.95315003996731	117.51713771923636	2327	0.6689760934901948	0.673725923878238	0.17788385534609008	2327	0.25015312108854343	0.229878291030488	0.19268184916060963	2327	0.7253015411537298	0.669366651894542	0.7227124756714982
Fib_EN1	357	11.062946778711485	10.249	5.581374737521454	357	0.2939263379616685	0.296187683284457	0.12614120301541595	357	10448.78431372549	9212.0	5879.955851987861	357	63.476817609355045	0.127116744753336	109.73233306179594	357	0.32862976745437117	0.296890682696042	0.09548786356154546	357	0.3764822215944577	0.370896670347512	0.2272911429334335	357	0.8508126037794769	0.773343722554222	0.8193880529716245
Fib_Fasci	331	11.542380664652569	10.701	5.143741505839668	331	0.2898148948593789	0.289008149473266	0.11075814247373715	331	10551.640483383686	9332.0	6351.074795754274	331	65.37785440278304	4.38875193888077	109.10097715186755	331	0.3386553066824508	0.331250038655073	0.0735551029492523	331	0.38056105655078654	0.344188142010111	0.23982520476654184	331	0.8663837778464908	0.813149972954642	0.8310272515951093
Fib_Inflama	1304	11.083856595092024	10.8605	4.297944726491361	1304	0.2918950060591238	0.30362478991352704	0.0997827182583463	1304	11028.617331288344	9935.5	5523.341046386291	1304	33.54224695634716	0.0	76.21520789180789	1304	0.561471032510568	0.49801867007817846	0.20590801400141656	1304	0.39591409463650107	0.3934782311789695	0.20264619022281233	1304	0.9640813418178122	0.9962102868675611	0.7375260507618366
Fib_K14	495	11.474995959595958	11.023	4.134043757564417	495	0.29900727451345244	0.297180489812719	0.10896720034218747	495	10342.472727272727	8998.0	5819.341596970434	495	29.306442890147387	0.0	69.4442897555658	495	0.4126153959451962	0.426441929542052	0.10982230243604964	495	0.8930929967929446	0.922764342665955	0.33271109686368183	495	0.830648464530657	0.782073389754347	0.7039658546975812
