condition,rank,sample,n_rna_cells,Klf4_ATAC_bin_mean,KLF4_RNA_sample_mean,KRT14_RNA_sample_mean,KRT5_RNA_sample_mean,PDGFRA_RNA_sample_mean,TP63_RNA_sample_mean,TACSTD2_RNA_sample_mean
Normal skin,1,D0-c-2,39,0.0,0.5830431775873621,1.728221629566918,1.9739253868548599,0.2536643039378824,0.305821390172539,1.003087103957459
Normal skin,2,D0-c-1,17,0.0,0.8132042231916099,1.0378781063203193,1.9069234129602581,0.0,0.06201544194970648,0.7306430197340659
Normal skin,3,YN-3,33,0.24918191469456638,0.8520501142349272,3.1067089522837525,3.0218162018276566,0.4293809342375686,0.19443298981360485,1.51516134381751
Normal skin,4,HNS2,86,0.6772766321449313,0.9806491290059981,2.457730801038642,1.4174119873950295,0.06549408356913673,0.26085443179019907,1.3558144147759785
Normal skin,5,HNS4,46,0.9489150211608577,1.3577167038151678,2.625006677677943,2.8192078312396727,0.036776072159479783,0.5701996353987415,1.298135750676608
Normal skin,6,YN-1,25,1.2446331593467415,1.394355484269724,2.003270750729362,2.234417822331086,0.0867590364991016,0.18841507859061188,1.961309595049545
Normal skin,7,YN-2,16,1.5545813584139625,1.6338907222559913,1.959620903835138,2.607475914226731,0.15448057819955752,0.32572697530813133,2.0242738973403007
Normal skin,8,HNS3,46,1.9892873545162215,1.6391783204336263,2.9197114652675453,1.6744820518029626,0.06351496785441826,0.17978952872733228,1.8167815487646868
Wound,1,DSDB_11dpb,15,0.0,0.2542449395759567,1.7983852280574566,0.871773579240824,0.0,0.0,0.2863827293853093
Wound,2,SSDB_12dpb,24,0.0,0.281580135987517,2.896619079519375,1.9217532511063524,0.2544444524035833,0.620542507247681,0.6271972358400905
Wound,3,127-4,65,0.0,0.3723521683039192,2.9784997408293306,2.5342588995089104,0.055139707952335075,0.30188320582860706,0.43550584565800066
Wound,4,AJH-255-1,212,0.0,0.4215380598832761,2.372043635989289,2.1259976206129627,0.28171821168512323,0.2481156439657965,0.6761783442449423
Wound,5,127-3,80,0.0,0.48785813729857086,3.00593520420198,2.6265300134623843,0.19910737598154163,0.23940324492002546,0.28006009483168043
Wound,6,DSDB_12dpb,167,0.0,0.5455213975387034,3.10041930264899,1.8184486363969272,0.11552296893025475,0.1295268274450619,1.5113424865688152
Wound,7,MCY-158-1,189,0.05338623504062005,0.5475673962685298,2.212559848719544,2.2157664215980306,0.03094782143828159,0.42222649860314704,0.8391874303241955
Wound,8,127-1,476,0.4202890829825953,0.6212726388360654,3.5677543251566894,3.056249599369563,0.03659270114843883,0.46385197361828057,0.6601809586892541
Wound,9,DSDB_26dpb_healing,101,0.5389759551053941,0.6223783904234609,3.585671060523377,2.604447442078101,0.1468318644713866,0.15282067495973534,1.4658898126756872
Wound,10,DSDB_6dpb,92,0.6584846702558175,0.6275518800679641,2.58511685323682,1.8694679607848605,0.10217996459996338,0.23459776072955082,0.8450537216530151
Wound,11,SSDB_19dpb,453,0.7273961795992427,0.6871160759021535,2.7280294636670686,1.5617484591189623,0.3714780057935737,0.05696679325814986,1.2384206803445796
Wound,12,DSDB_26dpb,401,0.8205933282148293,0.6943531047846143,3.3373819919346412,2.4867960472985846,0.04737993112616703,0.2135658041227037,0.9471687809815387
Wound,13,MCY-158-2,171,0.934109626444673,0.7201647433076286,2.428471999977544,2.635473231419255,0.044912338568409274,0.4155689242774512,0.9760301447159035
Wound,14,127-2,348,1.022644980980265,0.7707501768431995,3.3168479433838747,3.0352001120574967,0.07716141993653515,0.5023054427211728,0.7727676115817473
Wound,15,DSDB_7dpb,75,1.123741570840621,0.8633386686832095,0.9930820035386337,0.8268829264975521,0.34889656870717617,0.19466849781344292,0.3027821596109348
Wound,16,DSDB_22dpb_healing,591,1.2327030510229053,0.87449765829839,4.740998514549674,3.425269243922485,0.07331198208572703,0.14420347945843373,1.7011519823601953
Wound,17,SSDB_7dpb,115,1.3291540281432794,0.9045569599679327,2.586231569176874,1.7348252104842874,0.0748971497242372,0.2725576658413663,0.29416302894968394
Wound,18,DSDB_19dpb,28,1.431266843853204,0.9128741537810504,1.6033927794896965,1.1279953988703915,0.41428966874861217,0.10141994816580142,0.3086587428306375
Wound,19,DSDB_22dpb_nonhealing2,205,1.5435103751231805,0.9387514550974861,4.598039931600809,3.1075018600020847,0.07382143387797717,0.12046277669720115,1.754634497277871
Wound,20,DSDB_5dpb,29,1.6488198224091892,0.9614534273915848,3.1316127848979183,1.9237470498394955,0.11552284381246035,0.48335076692205015,1.1527123552390226
Wound,21,SSDB_10dpb,179,1.7640167768035084,1.0649584286076805,4.617548660999469,2.9246163027914633,0.37053558345062215,0.2983461197005957,1.2864367614690002
Wound,22,DSDB_22dpb_nonhealing1,65,1.897657991411117,1.154582973464023,3.7271656236009942,2.5448743437784063,0.26373797115163194,0.037153872673766394,1.4600585708963925
Wound,23,235-4--8,345,2.279528743268448,1.7446533548382788,1.2113553664629757,1.4175376116851144,0.43449683058486044,0.3501625716274108,0.7690526496587664
