pair	ligand	receptor	score	perm_mean	perm_p	sender_pct_ligand_positive	receiver_pct_receptor_positive	fdr
IGFL1-IGFLR1	IGFL1	IGFLR1	0.0822029635310173	0.043584727823734286	0.001996007984031936	3.9055793991416308	1.9346049046321527	0.010978043912175647
TGFB1-TGFBR1	TGFB1	TGFBR1	0.06026816740632057	0.048324202507734296	0.00998003992015968	1.0729613733905579	4.087193460490464	0.02634730538922156
VEGFA-KDR	VEGFA	KDR	0.03727877512574196	0.032282733388245104	0.1157684630738523	0.7296137339055794	2.17983651226158	0.18192187054462505
COL1A1-ITGB1	COL1A1	ITGB1	0.3694327771663666	0.37691776591539383	0.6746506986027944	49.012875536480685	2.833787465940054	0.7421157684630738
COL1A2-ITGA2	COL1A2	ITGA2	0.20692123472690582	0.23008246928453446	0.906187624750499	52.403433476394845	0.8719346049046321	0.906187624750499
FN1-ITGB1	FN1	ITGB1	0.1997659057378769	0.19078483328223228	0.17764471057884232	15.836909871244636	2.833787465940054	0.24426147704590817
CXCL12-CXCR4	CXCL12	CXCR4	0.14782144129276276	0.1325649374872446	0.06387225548902195	17.63948497854077	1.4713896457765667	0.11709913506320692
CCL2-CCR2	CCL2	CCR2	0.04197530075907707	0.03896231459453702	0.34530938123752497	9.742489270386265	0.21798365122615804	0.42204479929030825
IL1B-IL1R1	IL1B	IL1R1	0.04788856580853462	0.03429868248105049	0.003992015968063872	0.5579399141630901	4.904632152588556	0.014637391882900865
SPP1-CD44	SPP1	CD44	0.18908438086509705	0.1629627093076706	0.011976047904191617	2.4892703862660945	17.029972752043594	0.02634730538922156
AREG-IGFLR1	AREG	IGFLR1	0.09459507465362549	0.05319593006372452	0.001996007984031936	5.36480686695279	1.9346049046321527	0.010978043912175647
