"File","Hash"
"README.md","EFD46559E753FF06678610029E43D4AC2D3C70F116A9E8BB2045BEB2B3F9671B"
"figures\FigureS9_cross_species_conservation_v01.pdf","730E63B32E249B39F9505A170F00B4A0D749E8C37CFF0BE993895AF1B39C4FFA"
"figures\FigureS9_cross_species_conservation_v01.png","BA9A363AC5E62C0FD4BF5509A2CDD789F15C2CF895CB785C576D165396B71BDD"
"figures\FigureS9_cross_species_conservation_v01.svg","215BB1A00389D8A32657AD416153645B1EB30CB1908CEAEE077CE90959A7E5D6"
"figures\FigureS9_cross_species_conservation_v01.tiff","9389DC8D4EED533A6AF146EBBAE9BB2C55EB9CF4AE1D3B2A896E08025A5F86A7"
"figures\FigureS9_cross_species_conservation_v01_editable.ai","49D10F6C284152C3DD0C410367C971C8AEA270E0CA39EE5F84BED17786D4AE81"
"QC\source_sha256.csv","B10E1FBCFB2D24E71693297573EDB8EDE43936FD74FC7A77EC6BE8E2AD96C8CB"
"reports\analysis_report.json","0180C24434DDFF215D1F2B5C49A22915D0E84B112A447DCC2539213A5A2DC3CD"
"reports\FigureS9_legend.md","D4F63F86AAD54342502F1F48E9C3F51025D243158D9EF905B7AF0C095C9F9E1C"
"reports\results_interpretation_CN.md","1B96FA728890BC374448B509508313AB06E5AFECB10195DEF5E2DF1489CFD618"
"scripts\build_figure_s9.py","7EAD8F837E105E5718735771A8DD7D090BED1C7073D6EEE50A443EECC243DA95"
"scripts\export_ai.ps1","D91FB80C0B7588F52449CA8B61D51497F7B3193FAF1422AC865499C6B9FE6630"
"scripts\run_all.ps1","22752182F55D6F70246403F4B953386EE0A7BE13276BA9B85F0EF56249B438C9"
"source_data\audited_marker_expression.csv","468C184DB76B598079812B8E37DD46D42778448FC5547961B6F44E8534AB1A34"
"source_data\cross_context_group_summary.csv","4BDB08C980202C1B336AAA4F21BC8908E3EFFC496E2EBBB35CCF29D04EA4C85D"
"source_data\cross_context_sample_positive_fraction.csv","AE06D38D8AF6241E0C695EE036F6F1750F0670F1FB41ACB6A9E6E781A9CA8C3C"
"source_data\dataset_manifest.csv","2EC59E89A8359266022AF45BA2288481BC746D2FC912CF25BEC7167EA4D5765C"
"source_data\marker_overlap_statistics.csv","7A3A7973959EF6554DF00902F7D25E91483731E5C0B3ADF00773078330BB88FE"
"source_data\negative_findings.csv","2CE99C7DEA14A0A8B2A091B8AC3BBE419586546F7CDE178BB9A0E9669A10F1BE"
"source_data\ortholog_audit.csv","29E902D196B2D534F00C45660AB85003595B81B3D372C46EDB985849AA5B0C37"
"tables\marker_availability_matrix.csv","A9107562926BEEEDE449732CA49698E2FE2FE96786B3028A550C1BFCDF66B005"
"tables\marker_mean_expression_matrix.csv","FA7C8B5CC0110521BE6E694460150F4BA3FDF61B8E1331F81B50DFAD69C1C64B"
"tables\marker_percent_positive_matrix.csv","8E012C5A2DE44A30DB47B80427D3A404348F9A2C9B8F3C98E63ACAA3EC5D8DE4"
"tables\negative_and_inconclusive_findings.csv","B760DD6312C2DF0A7A49171CDCD0F84BF06815BA330C004A2BE89543A821F732"
"tables\ortholog_mapping_class_counts.csv","F85482B92874655351E2D61EA2534CC68DE88A857C439E6D03C47A67D780105B"
"tables\sample_level_pairwise_statistics.csv","C7EC48AB85D77AC10B60AA4F289CCF73B0189A55666C5ECE7C3E25C2080904D0"
