dataset,gene,matched_symbol,mean_expression,percent_positive,n_cells_sampled,h5ad
Reindeer,PDGFRA,PDGFRA,0.14593909680843353,9.466,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,KRT14,KRT14,1.6796633005142212,59.089999999999996,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,KLF4,KLF4,0.530571699142456,33.516,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,IGFL1,IGFL1,0.01716182939708233,1.806,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,IGF1,IGF1,0.03531253710389137,3.048,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,COL1A1,COL1A1,0.9527080655097961,36.58,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,COL3A1,COL3A1,0.8361943960189819,32.314,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,POSTN,POSTN,0.4114488959312439,18.831999999999997,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,LUM,LUM,0.3748999238014221,17.01,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
Reindeer,MMP2,MMP2,0.31763970851898193,16.18,50000,F:\时空组学流程分析skills\单细胞课题1_驯鹿_皮肤再生与纤维化修复\analysis\all_modules_fibk14\h5ad\all_modules_fibk14_annotated_hvg.h5ad
