species,condition,sample,path,source_type,total_units,double_positive,double_positive_fraction,double_positive_percent,fib_marker,epi_marker,marker_source,classification_source,mapping_status
Human,Human normal,235-4--8,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,13869,345,0.024875621890547265,2.487562189054726,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,AJH-255-1,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,10190,212,0.020804710500490677,2.0804710500490677,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,D0-c-1,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,12162,17,0.001397796415063312,0.1397796415063312,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,D0-c-2,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,14696,39,0.002653783342406097,0.2653783342406097,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,HNS2,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7148,86,0.012031337437045327,1.2031337437045326,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,HNS3,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7874,46,0.005842011684023368,0.5842011684023368,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,HNS4,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7181,46,0.006405793065032726,0.6405793065032725,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,YN-1,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,14109,25,0.00177191863349635,0.177191863349635,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,YN-2,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,14372,16,0.001113275814082939,0.11132758140829391,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human normal,YN-3,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,14026,33,0.0023527734207899613,0.23527734207899614,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,127-1,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,9785,476,0.04864588656106285,4.864588656106285,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,127-2,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8217,348,0.04235122307411464,4.235122307411464,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,127-3,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,8188,80,0.009770395701025891,0.9770395701025891,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,127-4,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,7605,65,0.008547008547008548,0.8547008547008547,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
Human,Human wound,DSDB_11dpb,F:\多组学分析skills\人创面\pbmc_final.h5ad,downloaded Seurat-to-h5ad scRNA,1339,15,0.011202389843166542,1.1202389843166543,,,cell_type_module1,existing_Fib_K14_annotation:cell_type_module1,annotation_mapped
