dataset_id,gene,mapping_class,matched_symbol
reindeer_skin_repair,PDGFRA,strict_symbol_match,PDGFRA
reindeer_skin_repair,KRT14,strict_symbol_match,KRT14
reindeer_skin_repair,KLF4,strict_symbol_match,KLF4
reindeer_skin_repair,BMP2,strict_symbol_match,BMP2
reindeer_skin_repair,SOX9,unmapped_in_selected_h5ad,
reindeer_skin_repair,HIF1A,unmapped_in_selected_h5ad,
reindeer_skin_repair,IGF1,strict_symbol_match,IGF1
reindeer_skin_repair,EN1,unmapped_in_selected_h5ad,
reindeer_skin_repair,SFRP2,strict_symbol_match,SFRP2
reindeer_skin_repair,JUN,strict_symbol_match,JUN
reindeer_skin_repair,FOS,strict_symbol_match,FOS
reindeer_skin_repair,STAT3,unmapped_in_selected_h5ad,
spiny_mouse_wound,PDGFRA,unmapped_in_selected_h5ad,
spiny_mouse_wound,KRT14,strict_symbol_match,Krt14
spiny_mouse_wound,KLF4,unmapped_in_selected_h5ad,
spiny_mouse_wound,BMP2,unmapped_in_selected_h5ad,
spiny_mouse_wound,SOX9,strict_symbol_match,Sox9
spiny_mouse_wound,HIF1A,unmapped_in_selected_h5ad,
spiny_mouse_wound,IGF1,strict_symbol_match,Igf1
spiny_mouse_wound,EN1,unmapped_in_selected_h5ad,
spiny_mouse_wound,SFRP2,strict_symbol_match,Sfrp2
spiny_mouse_wound,JUN,strict_symbol_match,Jun
spiny_mouse_wound,FOS,strict_symbol_match,Fos
spiny_mouse_wound,STAT3,unmapped_in_selected_h5ad,
spiny_mouse_steady_hf,PDGFRA,unmapped_in_selected_h5ad,
spiny_mouse_steady_hf,KRT14,strict_symbol_match,Krt14
spiny_mouse_steady_hf,KLF4,strict_symbol_match,Klf4
spiny_mouse_steady_hf,BMP2,strict_symbol_match,Bmp2
spiny_mouse_steady_hf,SOX9,strict_symbol_match,Sox9
spiny_mouse_steady_hf,HIF1A,unmapped_in_selected_h5ad,
spiny_mouse_steady_hf,IGF1,strict_symbol_match,Igf1
spiny_mouse_steady_hf,EN1,unmapped_in_selected_h5ad,
spiny_mouse_steady_hf,SFRP2,strict_symbol_match,Sfrp2
spiny_mouse_steady_hf,JUN,strict_symbol_match,Jun
spiny_mouse_steady_hf,FOS,strict_symbol_match,Fos
spiny_mouse_steady_hf,STAT3,unmapped_in_selected_h5ad,
mouse_adult_embryo_epithelial,PDGFRA,strict_symbol_match,Pdgfra
mouse_adult_embryo_epithelial,KRT14,unmapped_in_selected_h5ad,
mouse_adult_embryo_epithelial,KLF4,strict_symbol_match,Klf4
mouse_adult_embryo_epithelial,BMP2,strict_symbol_match,Bmp2
mouse_adult_embryo_epithelial,SOX9,strict_symbol_match,Sox9
mouse_adult_embryo_epithelial,HIF1A,strict_symbol_match,Hif1a
mouse_adult_embryo_epithelial,IGF1,strict_symbol_match,Igf1
mouse_adult_embryo_epithelial,EN1,strict_symbol_match,En1
mouse_adult_embryo_epithelial,SFRP2,strict_symbol_match,Sfrp2
mouse_adult_embryo_epithelial,JUN,strict_symbol_match,Jun
mouse_adult_embryo_epithelial,FOS,strict_symbol_match,Fos
mouse_adult_embryo_epithelial,STAT3,strict_symbol_match,Stat3
planarian_regeneration,PDGFRA,unmapped_in_selected_h5ad,
planarian_regeneration,KRT14,unmapped_in_selected_h5ad,
planarian_regeneration,KLF4,unmapped_in_selected_h5ad,
planarian_regeneration,BMP2,unmapped_in_selected_h5ad,
planarian_regeneration,SOX9,unmapped_in_selected_h5ad,
planarian_regeneration,HIF1A,unmapped_in_selected_h5ad,
planarian_regeneration,IGF1,unmapped_in_selected_h5ad,
planarian_regeneration,EN1,unmapped_in_selected_h5ad,
planarian_regeneration,SFRP2,unmapped_in_selected_h5ad,
planarian_regeneration,JUN,unmapped_in_selected_h5ad,
planarian_regeneration,FOS,unmapped_in_selected_h5ad,
planarian_regeneration,STAT3,unmapped_in_selected_h5ad,
rat_adult_neonate_embryo_spatial,PDGFRA,strict_symbol_match,Pdgfra
rat_adult_neonate_embryo_spatial,KRT14,unmapped_in_selected_h5ad,
rat_adult_neonate_embryo_spatial,KLF4,strict_symbol_match,Klf4
rat_adult_neonate_embryo_spatial,BMP2,strict_symbol_match,Bmp2
rat_adult_neonate_embryo_spatial,SOX9,strict_symbol_match,Sox9
rat_adult_neonate_embryo_spatial,HIF1A,strict_symbol_match,Hif1a
rat_adult_neonate_embryo_spatial,IGF1,strict_symbol_match,Igf1
rat_adult_neonate_embryo_spatial,EN1,strict_symbol_match,En1
rat_adult_neonate_embryo_spatial,SFRP2,strict_symbol_match,Sfrp2
rat_adult_neonate_embryo_spatial,JUN,strict_symbol_match,Jun
rat_adult_neonate_embryo_spatial,FOS,strict_symbol_match,Fos
rat_adult_neonate_embryo_spatial,STAT3,strict_symbol_match,Stat3
